"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Harry Kane";"Bayern Munich";31;2400;26;17;9;24.84;18.02;5.89;30.19;8.71;0.93;0.68;0.22;1.15;0.9;1.13;0.33
2;"Patrik Schick";"Bayer Leverkusen";31;1675;21;20;0;13.81;13.05;0.89;13.01;2.17;0.74;0.7;0.05;0.79;0.75;0.7;0.12
3;"Serhou Guirassy";"Borussia Dortmund";30;2608;21;18;2;24.68;21.64;3.93;28.85;5.98;0.85;0.75;0.14;0.99;0.88;1;0.21
4;"Jonathan Burkardt";"Mainz 05";29;2144;18;16;2;15.53;14.02;3.23;17.68;2.24;0.65;0.59;0.14;0.79;0.72;0.74;0.09
5;"Tim Kleindienst";"Borussia M.Gladbach";31;2756;16;15;7;15.64;14.13;6.16;22.16;5.9;0.51;0.46;0.2;0.71;0.66;0.72;0.19
6;"Ermedin Demirovic";"VfB Stuttgart";34;1847;15;15;1;17.19;15.67;2.33;18.02;3.67;0.84;0.76;0.11;0.95;0.88;0.88;0.18
7;"Omar Marmoush";"Eintracht Frankfurt";17;1471;15;13;9;10.45;8.94;6.44;15.57;4.92;0.64;0.55;0.39;1.03;0.94;0.95;0.3
8;"Hugo Ekitike";"Eintracht Frankfurt";33;2623;15;14;8;23.09;20.82;7.5;32.08;6.57;0.79;0.71;0.26;1.05;0.97;1.1;0.23
9;"Benjamin Sesko";"RasenBallsport Leipzig";33;2436;13;11;5;10.84;9.33;2.54;14.86;4.55;0.4;0.34;0.09;0.49;0.44;0.55;0.17
10;"Nick Woltemade";"VfB Stuttgart";28;1604;12;10;2;12.92;10.65;5.34;18.7;5.27;0.72;0.6;0.3;1.02;0.9;1.05;0.3
11;"Jamal Musiala";"Bayern Munich";25;1822;12;12;2;11.05;11.05;5.65;23.51;10.55;0.55;0.55;0.28;0.82;0.82;1.16;0.52
12;"Michael Olise";"Bayern Munich";34;2370;12;12;15;10.03;10.03;14.29;31.13;15.15;0.38;0.38;0.54;0.92;0.92;1.18;0.58
13;"Leroy Sané";"Bayern Munich";30;1638;11;11;5;10.86;10.86;6.12;21.54;8.57;0.6;0.6;0.34;0.93;0.93;1.18;0.47
