Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Emil Audero,id IDN,GK,Como,27,1997,8,8,720,8,18,2.25,31,17,54.8,2,2,4,0,0,4,4,0,0,0,Matches
2,Jean Butez,fr FRA,GK,Como,29,1995,19,18,"1,666",18.5,20,1.08,67,49,73.1,8,4,6,5,27.8,2,2,0,0,0,Matches
3,Elia Caprile,it ITA,GK,Napoli,22,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100,0,0,0,0,,Matches
4,Elia Caprile,it ITA,GK,Cagliari,22,2001,18,18,"1,620",18,22,1.22,67,46,68.7,5,4,9,5,27.8,1,1,0,0,0,Matches
5,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,34,"3,060",34,34,1,130,98,75.4,19,7,8,13,38.2,2,2,0,0,0,Matches
6,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,,Matches
7,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,0,9,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
8,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33,33,"2,970",33,32,0.97,99,71,72.7,16,13,4,14,42.4,5,5,0,0,0,Matches
9,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,"3,420",38,58,1.53,177,127,71.8,8,10,20,9,23.7,10,8,1,1,11.1,Matches
10,David de Gea,es ESP,GK,Fiorentina,33,1990,35,35,"3,150",35,38,1.09,131,96,71.8,19,5,11,11,31.4,3,1,2,0,66.7,Matches
11,Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7,7,630,7,15,2.14,28,17,57.1,1,2,4,1,14.3,4,3,1,0,25,Matches
12,Jesse Joronen,fi FIN,GK,Venezia,31,1993,8,7,703,7.8,15,1.92,39,27,69.2,1,1,5,2,28.6,3,3,0,0,0,Matches
13,Nicola Leali,it ITA,GK,Genoa,31,1993,29,29,"2,610",29,31,1.07,112,83,75,8,10,11,10,34.5,4,3,1,0,25,Matches
14,Mike Maignan,fr FRA,GK,Milan,29,1995,37,37,"3,294",36.6,41,1.12,137,98,70.8,17,9,11,13,35.1,2,1,1,0,50,Matches
15,Christos Mandas,gr GRE,GK,Lazio,22,2001,9,9,810,9,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,,Matches
16,Josep Martinez,es ESP,GK,Inter,26,1998,5,5,450,5,3,0.6,15,12,80,4,1,0,3,60,0,0,0,0,,Matches
17,Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
18,Alex Meret,it ITA,GK,Napoli,27,1997,34,34,"3,005",33.4,25,0.75,81,59,70.4,21,9,4,17,50,4,1,2,1,66.7,Matches
19,Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,"3,330",37,42,1.14,166,131,76.5,10,14,13,10,27,7,3,4,0,57.1,Matches
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,"3,240",36,64,1.78,161,100,61.5,9,7,20,8,22.2,4,2,1,1,33.3,Matches
21,Juan Musso,ar ARG,GK,Atalanta,30,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches
22,Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,"2,250",25,40,1.6,109,73,67,6,4,15,4,16,5,4,0,1,0,Matches
23,Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
24,Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,,Matches
25,Rui Patrício,pt POR,GK,Atalanta,36,1988,3,3,270,3,3,1,14,11,78.6,2,1,0,1,33.3,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2,2,180,2,2,1,11,9,81.8,1,0,1,0,0,0,0,0,0,,Matches
27,Mattia Perin,it ITA,GK,Juventus,31,1992,5,5,450,5,3,0.6,16,13,81.3,2,3,0,3,60,0,0,0,0,,Matches
28,Semuel Pizzignacco,it ITA,GK,Monza,22,2001,9,8,736,8.2,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,,Matches
29,Ivan Provedel,it ITA,GK,Lazio,30,1994,29,29,"2,610",29,42,1.45,91,53,58.2,15,6,8,5,17.2,4,4,0,0,0,Matches
30,Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,"1,350",15,18,1.2,63,47,76.2,2,7,6,4,26.7,3,3,0,0,0,Matches
31,Federico Ravaglia,it ITA,GK,Bologna,24,1999,12,11,"1,056",11.7,14,1.19,23,10,43.5,5,2,4,4,36.4,1,1,0,0,0,Matches
32,Pepe Reina,es ESP,GK,Como,41,1982,12,12,"1,034",11.5,14,1.22,41,28,68.3,3,4,5,2,16.7,1,1,0,0,0,Matches
33,Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,"1,080",12,16,1.33,51,38,74.5,5,4,3,4,33.3,3,3,0,0,0,Matches
34,Simone Scuffet,it ITA,GK,Cagliari,28,1996,13,13,"1,170",13,23,1.77,51,33,64.7,3,3,7,1,7.7,5,5,0,0,0,Matches
35,Simone Scuffet,it ITA,GK,Napoli,28,1996,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches
36,Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches
37,Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,,Matches
38,Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0,0,0,0,0,,Matches
