"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Kylian Mbappe-Lottin";"Real Madrid";34;2938;31;24;3;30.14;23.45;9.39;38.31;11.08;0.92;0.72;0.29;1.21;1.01;1.17;0.34
2;"Robert Lewandowski";"Barcelona";34;2716;27;24;2;29.41;26.44;2.48;29.24;6.66;0.97;0.88;0.08;1.06;0.96;0.97;0.22
3;"Ante Budimir";"Osasuna";38;3008;21;13;4;20.67;14.72;1.88;15;1.53;0.62;0.44;0.06;0.67;0.5;0.45;0.05
4;"Alexander Sørloth";"Atletico Madrid";35;1525;20;19;2;20.45;19.71;1.3;21.54;2.15;1.21;1.16;0.08;1.28;1.24;1.27;0.13
5;"Ayoze Pérez";"Villarreal";30;1987;19;19;2;15.23;15.23;3.13;19.89;3.78;0.69;0.69;0.14;0.83;0.83;0.9;0.17
6;"Raphinha";"Barcelona";36;2862;18;16;10;19.27;17.78;13.53;39.28;13.65;0.61;0.56;0.43;1.03;0.98;1.24;0.43
7;"Julián Álvarez";"Atletico Madrid";37;2543;17;13;4;14.16;11.19;6.46;25.16;9.43;0.5;0.4;0.23;0.73;0.62;0.89;0.33
8;"Oihan Sancet";"Athletic Club";29;1645;15;12;1;10.46;8.23;1.86;12.25;4.23;0.57;0.45;0.1;0.67;0.55;0.67;0.23
9;"Kike García";"Alaves";35;2571;13;10;0;10.71;8.48;0.76;9.77;2.1;0.38;0.3;0.03;0.4;0.32;0.34;0.07
10;"Javi Puado";"Espanyol";35;3023;12;7;4;11.95;8.23;2.97;13.29;3.44;0.36;0.25;0.09;0.44;0.33;0.4;0.1
11;"Cristhian Stuani";"Girona";32;998;11;8;2;8.71;6.48;0.43;5.8;0.63;0.79;0.58;0.04;0.82;0.62;0.52;0.06
12;"Borja Iglesias";"Celta Vigo";37;1968;11;11;3;11.55;11.55;3.18;16.7;3.17;0.53;0.53;0.15;0.67;0.67;0.76;0.14
13;"Dodi Lukebakio";"Sevilla";38;3117;11;10;2;9.24;8.5;5.39;14.77;3.35;0.27;0.25;0.16;0.42;0.4;0.43;0.1
14;"Hugo Duro";"Valencia";31;2180;11;10;2;10.97;10.23;1.45;10.65;0.98;0.45;0.42;0.06;0.51;0.48;0.44;0.04
15;"Vinícius Júnior";"Real Madrid";30;2267;11;9;8;12.78;10.55;8.64;23.5;7.63;0.51;0.42;0.34;0.85;0.76;0.93;0.3
16;"Thierno Barry";"Villarreal";35;2322;11;10;4;15.06;14.32;3.67;19.07;4.02;0.58;0.55;0.14;0.73;0.7;0.74;0.16
17;"Iago Aspas";"Celta Vigo";30;1751;10;5;5;8.27;3.81;4.82;11.49;5.21;0.43;0.2;0.25;0.67;0.44;0.59;0.27
