"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Mason Greenwood";"Marseille";34;2851;22;15;5;19.28;12.44;6.83;26.15;10.89;0.61;0.39;0.22;0.82;0.61;0.83;0.34
2;"Ousmane Dembélé";"Paris Saint Germain";29;1747;21;20;7;18.54;17.78;8.8;32.07;9.61;0.95;0.92;0.45;1.41;1.37;1.65;0.5
3;"Arnaud Kalimuendo Muinga";"Rennes";33;2630;17;12;3;17.98;11.9;2.88;17.83;4.44;0.62;0.41;0.1;0.71;0.51;0.61;0.15
4;"Jonathan Christian David";"Lille";32;2535;16;10;5;19.45;14.13;4.7;22.46;6.01;0.69;0.5;0.17;0.86;0.67;0.8;0.21
5;"Alexandre Lacazette";"Lyon";30;2092;15;10;2;18.01;13.44;3.78;20.65;5.84;0.77;0.58;0.16;0.94;0.74;0.89;0.25
6;"Bradley Barcola";"Paris Saint Germain";34;2223;14;14;10;15.34;15.34;9.93;34.76;14.24;0.62;0.62;0.4;1.02;1.02;1.41;0.58
7;"Emanuel Emegha";"Strasbourg";27;2331;14;14;3;17.62;17.62;2;21.06;3.16;0.68;0.68;0.08;0.76;0.76;0.81;0.12
8;"Amine Gouiri";"Marseille,Rennes";33;2122;13;13;5;10.69;10.69;4.56;17.55;3.96;0.45;0.45;0.19;0.65;0.65;0.74;0.17
9;"Ludovic Ajorque";"Brest";31;2533;13;13;2;12.59;11.83;3.07;12.96;3.22;0.45;0.42;0.11;0.56;0.53;0.46;0.11
10;"Mika Biereth";"Monaco";16;1255;13;12;2;12.21;10.69;4.79;17.85;3.38;0.88;0.77;0.34;1.22;1.11;1.28;0.24
11;"Evann Guessand";"Nice";33;2609;12;12;8;9.79;9.79;6.22;19.58;5.42;0.34;0.34;0.21;0.55;0.55;0.68;0.19
12;"Lucas Stassin";"Saint-Etienne";28;1916;12;12;4;8.41;8.41;3.85;12.51;3.67;0.39;0.39;0.18;0.58;0.58;0.59;0.17
13;"Gaetan Laborde";"Nice";28;1845;11;7;4;12.52;9.48;5.1;14.99;4.06;0.61;0.46;0.25;0.86;0.71;0.73;0.2
14;"Georges Mikautadze";"Lyon";34;1397;11;8;6;11.46;8.42;5.32;16.57;4.82;0.74;0.54;0.34;1.08;0.89;1.07;0.31
15;"Keito Nakamura";"Reims";32;2702;11;11;2;9.23;9.23;3.23;16.37;5.08;0.31;0.31;0.11;0.41;0.41;0.55;0.17
16;"Gaetan Perrin";"Auxerre";34;2750;10;10;11;6.18;6.18;8.52;14.08;5.71;0.2;0.2;0.28;0.48;0.48;0.46;0.19
17;"Abdoulaye Touré";"Le Havre";28;2347;10;2;1;9.38;2.54;0.58;7.8;6.68;0.36;0.1;0.02;0.38;0.12;0.3;0.26
18;"Hamed Junior Traore";"Auxerre";26;2154;10;10;2;7.65;7.65;2.91;13.96;4.68;0.32;0.32;0.12;0.44;0.44;0.58;0.2
