Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1,0,0,43,67,5,58,9,33,,,0,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,1,0,0,12,33,0,30,7,10,,,0,Matches
3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,4,1,1,18,26,1,4,9,21,,,0,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,6,6,0,0,2,0,,,0,Matches
5,Azeem Abdulai,sct SCO,MF,Swansea City,21,2002,3.9,1,0,0,5,9,0,20,2,5,,,0,Matches
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,12,0,0,87,98,3,32,59,100,,,0,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,1,0,0,57,29,27,10,7,11,,,0,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
9,Enock Agyei,be BEL,FW,Burnley,19,2005,0.6,0,0,0,1,1,0,3,0,0,,,0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,25,1999,34.8,11,1,0,26,28,4,7,46,45,,,0,Matches
11,Semi Ajayi,ng NGA,DF,West Bromwich Albion,30,1993,13.6,4,0,0,10,5,0,3,10,6,,,0,Matches
12,Milan Aleksić,rs SRB,MF,Sunderland,18,2005,3.2,1,0,0,7,2,0,6,3,4,,,0,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,7.8,2,0,0,8,3,1,9,9,5,,,0,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,11.2,1,0,0,13,7,0,0,9,16,,,0,Matches
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,7.9,2,0,0,16,8,0,13,5,8,,,0,Matches
16,Millenic Alli,ie IRL,"MF,FW",Luton Town,24,2000,8.5,1,0,0,12,12,3,31,1,6,,,0,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,2,0,0,0,7,0,0,0,1,,,0,Matches
18,Will Alves,eng ENG,"MF,FW",Cardiff City,19,2005,7.4,0,0,0,0,8,0,25,3,11,,,0,Matches
19,Steven Alzate,co COL,MF,Hull City,25,1998,21.6,2,0,0,20,19,1,24,30,52,,,0,Matches
20,Zeki Amdouni,ch SUI,"FW,MF",Burnley,23,2000,0.4,0,0,0,1,2,0,0,1,1,,,0,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,23,2000,25.4,7,0,0,38,36,0,5,27,33,,,0,Matches
22,Nordin Amrabat,ma MAR,MF,Hull City,37,1987,3.2,0,0,0,11,6,6,30,1,5,,,0,Matches
23,Lucas Andersen,dk DEN,MF,Queens Park Rangers,29,1994,12.9,1,0,0,11,13,3,74,7,16,,,0,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,1.1,1,0,0,3,1,0,4,0,2,,,0,Matches
25,Ryan Andrews,eng ENG,"MF,DF",Watford,19,2004,23.2,3,0,0,33,22,1,56,25,22,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Jaidon Anthony,eng ENG,MF,Burnley,24,1999,40.7,4,0,0,37,37,14,247,31,33,,,0,Matches
27,Adil Aouchiche,fr FRA,MF,Portsmouth,22,2002,7.6,2,0,0,6,7,0,20,9,8,,,0,Matches
28,Adil Aouchiche,fr FRA,MF,Sunderland,22,2002,3.3,0,0,0,7,4,1,33,0,2,,,0,Matches
