Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Thelo Aasgaard,no NOR,MF,Wigan Athletic,22,2002,23.1,1,0,0,33,54,1,10,14,15,,,0,Matches
2,Azeem Abdulai,sct SCO,"MF,FW",Leyton Orient,21,2002,11.6,4,0,0,22,15,7,14,8,15,,,0,Matches
3,Dave Abimbola,,FW,Bolton Wanderers,,,1.2,0,0,0,5,5,1,0,0,0,,,0,Matches
4,Ken Aboh,eng ENG,FW,Stevenage,19,2004,0.7,1,0,0,1,1,0,1,0,0,,,0,Matches
5,Kelvin Abrefa,eng ENG,DF,Reading,20,2003,13.1,1,0,0,15,18,0,27,11,15,,,0,Matches
6,Tayo Adaramola,ie IRL,"DF,MF",Stockport,20,2003,2.8,1,0,0,3,7,0,10,0,7,,,0,Matches
7,Corey Addai,jm JAM,GK,Stockport,26,1997,28,0,0,0,0,0,0,0,0,0,,,0,Matches
8,Rio Adebisi,eng ENG,"DF,MF",Peterborough United,23,2000,0.1,0,0,0,0,0,0,1,0,1,,,0,Matches
9,Victor Adeboyejo,eng ENG,FW,Bolton Wanderers,26,1998,13.2,2,0,0,12,16,6,7,5,3,,,0,Matches
10,Babajide Adeeko,ie IRL,MF,Wigan Athletic,21,2003,22.4,6,0,0,25,15,1,14,29,17,,,0,Matches
11,Ade Adeyemo,eng ENG,MF,Crawley Town,26,1998,12.9,3,0,0,13,7,1,31,13,25,,,0,Matches
12,Dan Agyei,eng ENG,"MF,FW",Leyton Orient,27,1997,29,4,0,0,37,29,12,77,1,9,,,0,Matches
13,Ashqar Ahmed,,DF,Reading,,,0.7,1,0,0,4,1,0,1,0,1,,,0,Matches
14,Will Aimson,eng ENG,DF,Wigan Athletic,28,1995,41.1,7,1,0,46,31,4,10,47,47,,,2,Matches
15,Jack Aitchison,sct SCO,MF,Exeter City,24,2000,19.9,3,0,0,33,44,2,26,17,17,,,0,Matches
16,David Ajiboye,eng ENG,"MF,DF",Peterborough United,25,1998,2.3,0,0,0,2,5,0,8,3,4,,,0,Matches
17,Adrian Akande,ng NGA,FW,Reading,20,2003,4.9,0,0,0,4,1,5,14,2,2,,,0,Matches
18,Lucas Akins,gd GRN,"FW,MF",Mansfield Town,35,1989,29.3,3,0,0,34,34,12,53,18,22,,,0,Matches
19,Nicholas Akoto,us USA,"MF,DF",Burton Albion,25,1998,6.9,1,0,0,9,12,3,17,3,16,,,0,Matches
20,Millenic Alli,ie IRL,"FW,MF",Exeter City,24,2000,19.6,2,0,0,64,30,16,57,6,13,,,0,Matches
21,Ryan Allsop,eng ENG,GK,Birmingham City,32,1992,38,5,0,0,0,9,0,0,0,1,,,0,Matches
22,Karoy Anderson,jm JAM,MF,Charlton Athletic,19,2004,18.5,8,0,0,35,18,4,22,17,23,,,0,Matches
23,Keshi Anderson,eng ENG,MF,Birmingham City,29,1995,24.5,6,0,0,47,63,18,74,14,27,,,0,Matches
24,Max Anderson,sct SCO,MF,Crawley Town,23,2001,27.9,5,0,0,37,19,0,13,33,41,,,0,Matches
25,Taylor Anderson,eng ENG,DF,Mansfield Town,19,2004,0,0,0,0,0,0,0,0,0,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Benoný Andrésson,is ISL,FW,Stockport,18,2005,3.1,0,0,0,2,10,1,1,1,3,,,0,Matches
27,Danny Andrew,eng ENG,"DF,MF",Cambridge United,33,1990,25.4,7,0,0,31,8,2,136,22,18,,,0,Matches
28,Joseph Andrews,wls WAL,MF,Peterborough United,18,2006,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
29,Chuks Aneke,eng ENG,"FW,MF",Charlton Athletic,31,1993,7.1,3,1,0,23,9,8,3,2,5,,,0,Matches
30,Louis Appere,sct SCO,FW,Stevenage,25,1999,7,0,0,0,10,4,4,1,0,4,,,0,Matches
31,Robert Apter,sct SCO,MF,Blackpool,21,2003,35.6,0,0,0,19,41,2,172,17,34,,,0,Matches
32,Scott Arfield,ca CAN,MF,Bolton Wanderers,35,1988,3.5,1,0,0,3,2,1,7,1,1,,,0,Matches
33,Jack Armer,sct SCO,DF,Burton Albion,23,2001,34.1,6,0,0,26,44,0,81,26,38,,,2,Matches
34,Maleace Asamoah,eng ENG,"FW,MF",Wigan Athletic,21,2002,9.8,1,0,0,20,14,8,4,2,1,,,0,Matches
35,Taye Ashby-Hammond,eng ENG,GK,Stevenage,25,1999,9,0,0,0,0,1,0,0,0,0,,,0,Matches
36,Zachary Ashworth,wls WAL,DF,Blackpool,21,2002,2.1,1,0,0,4,1,0,3,4,3,,,0,Matches
37,Femi Azeez,eng ENG,MF,Reading,23,2001,0.3,0,0,0,0,0,0,0,1,0,,,0,Matches
38,Keanu Baccus,au AUS,MF,Mansfield Town,26,1998,29.7,7,0,0,65,28,7,130,34,52,,,0,Matches
39,Fin Back,eng ENG,DF,Wycombe Wanderers,21,2002,0.8,0,0,0,2,0,0,1,1,2,,,0,Matches
40,Elkan Baggott,id IDN,DF,Blackpool,21,2002,14.8,3,0,0,15,12,1,0,15,15,,,0,Matches
41,Odin Bailey,eng ENG,MF,Stockport,24,1999,10.9,2,0,0,10,8,0,35,4,7,,,0,Matches
42,Geraldo Bajrami,al ALB,DF,Burton Albion,24,1999,0.2,1,0,0,3,0,0,0,0,0,,,0,Matches
43,Tyreeq Bakinson,eng ENG,MF,Wycombe Wanderers,25,1998,9.9,5,0,0,13,9,1,6,10,8,,,0,Matches
44,Jack Baldwin,eng ENG,DF,Northampton Town,31,1993,12.6,3,0,0,6,15,0,5,18,9,,,0,Matches
45,Radinio Balker,sr SUR,DF,Huddersfield Town,25,1998,8.6,1,0,0,4,6,0,1,9,8,,,0,Matches
46,Dominic Ball,eng ENG,MF,Leyton Orient,28,1995,14.2,6,0,0,25,26,0,4,10,16,,,0,Matches
47,Dominic Ballard,eng ENG,FW,Cambridge United,19,2005,10.7,0,0,0,11,12,7,6,1,5,,,0,Matches
48,Dominic Ballard,eng ENG,"FW,MF",Blackpool,19,2005,8.8,1,0,0,8,17,1,6,4,3,,,0,Matches
49,Alex Bannon,sct SCO,"DF,MF",Burton Albion,20,2003,8.1,1,0,0,2,4,0,3,12,17,,,0,Matches
50,Charlie Barker,eng ENG,DF,Crawley Town,21,2003,37.4,10,0,0,36,41,0,35,33,42,,,2,Matches
