Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,George Abbott,eng ENG,MF,Notts County,18,2005,37.8,8,0,0,43,46,2,22,54,61,,,0,Matches
2,Ken Aboh,eng ENG,FW,Colchester United,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
3,Emile Acquah,eng ENG,"FW,MF",Barrow,24,2000,19.8,3,0,0,42,35,6,5,2,8,,,0,Matches
4,Finlay Adair,eng ENG,FW,Fleetwood Town,19,2005,0,0,0,0,0,1,0,0,0,0,,,0,Matches
5,Joe Adams,eng ENG,MF,Bradford City,20,2004,0.2,0,0,0,0,0,0,0,0,1,,,0,Matches
6,Tayo Adaramola,ie IRL,MF,Bradford City,20,2003,13.9,3,0,0,20,14,0,34,7,21,,,0,Matches
7,Val Adedokun,ie IRL,DF,Cheltenham Town,21,2003,11.5,1,0,0,7,7,1,23,5,12,,,0,Matches
8,Hakeeb Adelakun,eng ENG,"FW,MF",Salford City FC,28,1996,24.2,1,1,0,26,12,15,66,7,9,,,0,Matches
9,Albert Adomah,gh GHA,FW,Walsall,36,1987,14.8,5,0,0,17,8,17,64,7,18,,,0,Matches
10,Daniel Adu-Adjei,eng ENG,"FW,MF",Carlisle United,19,2005,11.4,2,0,0,12,13,0,3,3,4,,,0,Matches
11,Asher Agbinone,eng ENG,"MF,FW",Gillingham,18,2005,3.7,0,0,0,5,4,0,4,0,1,,,0,Matches
12,Calum Agius,wls WAL,FW,Crewe Alexandra,18,2005,3.4,2,0,0,3,6,0,7,0,5,,,0,Matches
13,Callum Ainley,eng ENG,MF,Grimsby Town,26,1997,7.9,1,0,0,19,12,0,16,2,8,,,0,Matches
14,David Ajiboye,eng ENG,"FW,MF",Newport County,25,1998,13.8,1,0,0,8,24,2,5,1,8,,,0,Matches
15,Tim Akinola,eng ENG,MF,Chesterfield,23,2001,0.2,0,0,0,1,0,0,1,0,1,,,0,Matches
16,Kyle Alex John,eng ENG,"MF,DF",Port Vale,23,2001,22.6,4,0,0,16,17,0,62,29,31,,,0,Matches
17,Sonny Aljofree,eng ENG,DF,Accrington Stanley,19,2004,23.6,3,0,0,20,6,1,11,30,28,,,1,Matches
18,Taylor Allen,eng ENG,DF,Walsall,24,2000,43.9,5,1,1,30,37,1,293,39,31,,,0,Matches
19,George Alston,,FW,Swindon Town,,,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
20,Levi Amantchi,eng ENG,FW,Bromley,23,2000,4,0,0,0,5,3,4,2,0,2,,,0,Matches
21,Levi Amantchi,eng ENG,FW,Walsall,23,2000,6.7,0,0,0,9,3,4,5,0,4,,,0,Matches
22,Botan Ameen,iq IRQ,MF,Swindon Town,17,2007,5.4,0,0,0,7,6,0,16,2,6,,,0,Matches
23,Ben Amos,eng ENG,GK,Port Vale,34,1990,23,2,0,0,0,6,0,0,0,0,,,0,Matches
24,Harry Anderson,eng ENG,MF,Colchester United,27,1997,19.2,0,0,0,38,23,5,21,14,22,,,0,Matches
25,Tom Anderson,eng ENG,DF,Doncaster Rovers,30,1993,24.1,3,1,0,19,14,2,2,20,16,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Josh Andrews,eng ENG,FW,Gillingham,22,2001,3.1,1,0,0,10,10,1,1,0,1,,,0,Matches
27,Lee Angol,eng ENG,FW,Morecambe,29,1994,17.7,5,1,0,54,40,11,3,6,8,,,0,Matches
28,Cameron Antwi,eng ENG,MF,Newport County,22,2001,30.2,8,0,0,25,25,1,7,15,26,,,0,Matches
29,Harvey Araujo,,DF,Chesterfield,,,13.2,6,0,0,22,8,0,5,16,18,,,0,Matches
30,Ethon Archer,eng ENG,MF,Cheltenham Town,21,2002,42,2,0,0,37,89,10,127,29,57,,,0,Matches
31,Luke Armstrong,eng ENG,FW,Carlisle United,28,1996,13.7,0,0,0,18,15,6,8,5,8,,,0,Matches
32,Jude Arthurs,eng ENG,MF,Bromley,22,2001,35,6,0,0,51,16,2,76,25,44,,,0,Matches
33,Zico Asare,eng ENG,"DF,MF",Harrogate Town FC,23,2001,16.2,4,0,0,16,24,1,11,15,15,,,0,Matches
34,Luca Ashby-Hammond,eng ENG,GK,Gillingham,23,2001,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
35,Ossama Ashley,eng ENG,MF,Salford City FC,23,2000,27.9,13,0,0,46,42,0,8,71,50,,,1,Matches
36,Nathan Asiimwe,ug UGA,MF,Walsall,19,2004,6.8,2,0,0,5,0,0,39,1,6,,,0,Matches
37,Joshua Austerfield,eng ENG,"MF,DF",Salford City FC,22,2001,13.5,3,0,0,12,10,1,5,26,21,,,0,Matches
38,Sam Austin,eng ENG,MF,Notts County,27,1996,18.2,1,0,0,10,18,5,56,13,12,,,0,Matches
39,Sebastian Auton,,GK,Grimsby Town,,,0.8,0,0,0,0,0,0,0,0,0,,,0,Matches
40,Zach Awe,eng ENG,DF,Accrington Stanley,20,2004,21,5,0,0,38,30,2,3,45,33,,,0,Matches
41,Tommy Backwell,eng ENG,"MF,FW",Cheltenham Town,21,2003,8.1,2,0,0,14,5,0,3,8,16,,,0,Matches
42,Owen Bailey,eng ENG,"MF,DF",Doncaster Rovers,25,1999,45.8,9,0,0,54,72,6,21,35,43,,,1,Matches
43,Ibrahim Bakare,eng ENG,DF,Cheltenham Town,22,2002,18.4,5,0,0,15,13,1,11,24,32,,,0,Matches
44,Matthew Baker,wls WAL,DF,Newport County,21,2003,41,4,0,0,30,26,1,0,47,40,,,1,Matches
45,Courtney Baker-Richardson,eng ENG,FW,Newport County,28,1995,23.7,6,1,0,51,25,13,12,7,8,,,0,Matches
46,Aden Baldwin,eng ENG,DF,Bradford City,27,1997,28.8,11,1,0,35,23,5,16,27,33,,,0,Matches
47,Jimmy Ball,eng ENG,"DF,MF",AFC Wimbledon,28,1995,10.7,4,0,0,13,8,0,0,14,9,,,0,Matches
48,Ollie Banks,eng ENG,MF,Chesterfield,31,1992,26,5,0,0,35,26,2,55,12,28,,,0,Matches
49,Ben Barclay,eng ENG,"DF,MF",Carlisle United,27,1996,13.6,6,0,0,11,5,0,14,18,20,,,0,Matches
50,Daniel Barden,wls WAL,GK,Swindon Town,23,2001,11.8,2,0,0,1,5,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Lucas Barnes,eng ENG,MF,Harrogate Town FC,17,2007,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
52,Sam Barnes,eng ENG,DF,Barrow,23,2001,0.5,1,0,0,2,0,0,0,1,0,,,0,Matches
53,Connor Barratt,ie IRL,MF,Walsall,20,2004,37.7,10,1,0,50,23,1,120,26,52,,,0,Matches
54,Luca Barrington,eng ENG,"MF,FW",Grimsby Town,19,2004,20.9,0,0,0,15,17,5,45,16,15,,,0,Matches
55,Alex Bass,eng ENG,GK,Notts County,26,1998,38.1,2,0,0,1,7,0,0,0,0,,,0,Matches
56,Jake Batty,eng ENG,"MF,DF",Accrington Stanley,19,2005,20.2,8,0,0,20,12,0,52,26,30,,,0,Matches
57,Jacob Bedeau,gd GRN,DF,Notts County,24,1999,43.4,8,0,0,41,32,2,56,34,51,,,0,Matches
58,James Belshaw,eng ENG,GK,Harrogate Town FC,33,1990,44.4,2,0,0,0,12,0,0,0,0,,,0,Matches
59,Jay Benn,eng ENG,MF,Bradford City,22,2001,10.1,4,0,0,13,8,0,60,10,10,,,0,Matches
60,Rhys Bennett,eng ENG,DF,Fleetwood Town,20,2003,27.8,11,0,0,34,30,0,5,25,18,,,1,Matches
61,Scot Bennett,eng ENG,"DF,MF",Cheltenham Town,33,1990,21.2,6,0,0,23,18,0,3,47,24,,,1,Matches
62,Kevin Berkoe,eng ENG,"MF,DF",Salford City FC,23,2001,7.1,0,0,0,5,9,0,7,1,10,,,0,Matches
63,James Berry,eng ENG,MF,Chesterfield,23,2000,11.8,1,0,0,6,20,4,49,2,7,,,0,Matches
64,Joe Bevan,sct SCO,MF,Carlisle United,19,2005,4.1,2,0,0,11,5,1,13,2,10,,,0,Matches
65,Harrison Biggins,eng ENG,MF,Carlisle United,28,1996,13.6,2,0,0,11,36,1,53,5,11,,,0,Matches
66,Huseyin Biler,eng ENG,DF,AFC Wimbledon,22,2002,0.8,0,0,0,4,1,0,8,0,2,,,0,Matches
67,Lewis Billington,eng ENG,"DF,MF",Crewe Alexandra,20,2004,16.8,4,0,0,10,8,0,34,12,15,,,0,Matches
68,Bryant Bilongo,eng ENG,DF,Harrogate Town FC,22,2001,10.4,3,0,0,16,18,0,21,12,15,,,0,Matches
69,Teddy Bishop,eng ENG,MF,Colchester United,28,1996,20.9,2,0,0,13,41,0,46,16,24,,,0,Matches
70,Benicio Boaitey,eng ENG,MF,Port Vale,20,2004,4,2,0,0,7,7,0,28,0,4,,,0,Matches
71,Omar Bogle,eng ENG,FW,Crewe Alexandra,31,1993,15.7,1,0,0,33,35,17,10,3,7,,,0,Matches
72,James Bolton,eng ENG,DF,Fleetwood Town,29,1994,35.7,7,0,0,32,30,2,3,30,38,,,1,Matches
73,Elliott Bonds,gy GUY,MF,Fleetwood Town,24,2000,29.7,9,0,0,42,25,0,21,21,48,,,0,Matches
74,Geoffroy Bony,wls WAL,FW,Newport County,19,2004,2.1,0,0,0,2,2,0,3,0,3,,,0,Matches
75,Ryan Boot,eng ENG,GK,Chesterfield,29,1994,28,0,0,0,1,6,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Ryan Bowman,eng ENG,FW,Cheltenham Town,32,1991,9.4,2,0,0,25,13,4,3,0,0,,,0,Matches
77,Tom Bradbury,eng ENG,DF,Cheltenham Town,26,1998,37.9,3,1,1,38,18,0,49,55,28,,,0,Matches
78,Zak Bradshaw,eng ENG,"MF,DF",Tranmere Rovers,20,2003,12.9,4,0,0,14,6,1,17,20,14,,,0,Matches
79,Jack Bray,eng ENG,FW,Harrogate Town FC,17,2007,0.2,1,0,0,1,0,0,0,0,0,,,0,Matches
80,Kian Breckin,eng ENG,MF,Crewe Alexandra,20,2003,3.4,2,0,0,10,1,0,7,3,5,,,0,Matches
81,Gabriel Breeze,eng ENG,GK,Carlisle United,20,2003,32,5,0,0,1,14,0,0,0,1,,,0,Matches
82,Ciaran Brennan,ie IRL,"DF,MF",Newport County,24,2000,25.3,3,2,0,16,16,1,4,23,39,,,0,Matches
