Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Tristan Abrahams,eng ENG,"FW,MF",Maidenhead United,25,1998,31.6,9,1,1,,,,,,,,,0,Matches
2,Ben Acquaye,eng ENG,MF,Tamworth,24,1999,9.4,7,0,0,,,,,,,,,0,Matches
3,Jacob Adams,,GK,Wealdstone FC,,,3.5,0,0,0,,,,,,,,,0,Matches
4,Tobi Adebayo-Rowling,eng ENG,"MF,DF",Rochdale,27,1996,35.6,4,0,0,,,,,,,,,0,Matches
5,Oluwalopemiwa Aderoju,eng ENG,FW,Boston United,,,9.4,1,0,0,,,,,,,,,0,Matches
6,Jason Adigun,eng ENG,MF,Dagenham & Redbridge,20,2003,0,0,0,0,,,,,,,,,0,Matches
7,Kain Adom,,"MF,FW",Gateshead,,,8.7,1,0,0,,,,,,,,,0,Matches
8,Kain Adom,,"FW,MF",Fylde,,,1.5,0,0,0,,,,,,,,,0,Matches
9,Kain Adom,,"MF,FW",Sutton United,,,4.3,0,0,0,,,,,,,,,0,Matches
10,Daniel Adshead,eng ENG,"MF,FW",Boston United,22,2001,1.2,0,0,0,,,,,,,,,0,Matches
11,Michael Adu-Poku,eng ENG,"MF,DF",Rochdale,18,2005,4.1,0,0,0,,,,,,,,,0,Matches
12,Michael Adu-Poku,eng ENG,"MF,FW",Solihull Moors,18,2005,10,1,0,0,,,,,,,,,0,Matches
13,Edwin Agbaje,ie IRL,DF,Sutton United,20,2004,0.5,0,0,0,,,,,,,,,0,Matches
14,Ricky Aguiar,eng ENG,"MF,DF",York City,23,2001,15.8,3,0,0,,,,,,,,,0,Matches
15,David Ajiboye,eng ENG,MF,York City,25,1998,4.8,0,0,0,,,,,,,,,0,Matches
16,Joseph Ajose,eng ENG,MF,Maidenhead United,23,2001,4.5,0,0,0,,,,,,,,,0,Matches
17,John Akinde,eng ENG,"FW,MF",Braintree Town,35,1989,28.4,12,1,1,,,,,,,,,0,Matches
18,Olatunji Akinola,eng ENG,"MF,DF",Woking,25,1998,35.6,8,0,0,,,,,,,,,2,Matches
19,Tim Akinola,eng ENG,MF,Gateshead,23,2001,5.2,0,0,0,,,,,,,,,0,Matches
20,Tim Akinola,eng ENG,"MF,DF",Dagenham & Redbridge,23,2001,2.6,0,0,0,,,,,,,,,0,Matches
21,Tim Akinola,eng ENG,MF,Solihull Moors,23,2001,1.6,1,0,0,,,,,,,,,0,Matches
22,Dipo Akinyemi,eng ENG,"MF,FW",York City,27,1997,13.8,3,0,0,,,,,,,,,0,Matches
23,Ashley Akpan,eng ENG,"MF,DF",Aldershot Town,20,2004,16.1,1,0,0,,,,,,,,,0,Matches
24,Ody Alfa,ng NGA,FW,Rochdale,25,1999,0.3,0,0,0,,,,,,,,,0,Matches
25,Adam Alimi-Adetoro,ie IRL,"DF,MF",FC Halifax Town,22,2002,29.4,12,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Thomas Allan,eng ENG,"FW,MF",Gateshead,24,1999,5.8,1,1,0,,,,,,,,,0,Matches
27,Tarryn Allarakhia,tz TAN,"MF,FW",Rochdale,26,1997,31.7,5,0,0,,,,,,,,,0,Matches
28,Luca Alonzi,eng ENG,FW,Boston United,16,2008,0.4,1,0,0,,,,,,,,,0,Matches
29,Justin Amaluzor,eng ENG,"MF,FW",Altrincham,27,1996,22.7,4,1,0,,,,,,,,,0,Matches
30,Francis Amartey,eng ENG,FW,Braintree Town,25,1999,0.1,0,0,0,,,,,,,,,0,Matches
31,Collin Andeng-Ndi,cm CMR,GK,Southend United,20,2003,22.9,2,0,0,,,,,,,,,0,Matches
32,Jermaine Anderson,eng ENG,MF,Woking,28,1996,11.9,7,0,0,,,,,,,,,0,Matches
33,Keane Anderson,eng ENG,MF,Aldershot Town,20,2003,6.5,1,0,0,,,,,,,,,0,Matches
34,Jamie Andrews,eng ENG,MF,Woking,21,2002,37.4,6,0,0,,,,,,,,,0,Matches
35,Louie Annesley,gi GIB,"DF,MF",Braintree Town,24,2000,40.4,8,0,0,,,,,,,,,0,Matches
36,Caleb Ansen,eng ENG,GK,Altrincham,18,2005,11.1,1,0,0,,,,,,,,,0,Matches
37,Elijah Anthony,eng ENG,DF,Ebbsfleet United,20,2004,0.4,1,0,0,,,,,,,,,0,Matches
38,Alex Aoraha,iq IRQ,"MF,FW",Ebbsfleet United,21,2003,10.2,2,0,0,,,,,,,,,0,Matches
