Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,James Abankwah,ie IRL,DF,Udinese,20,2004,1,1,0,0,4,3,0,0,1,1,,,0,Matches
2,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,2.3,0,0,0,2,5,0,7,2,2,,,0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28,1996,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0,0,0,0,0,0,0,0,0,0,,,0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,1,0,0,23,12,6,3,2,11,,,0,Matches
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19,0,0,0,11,18,2,10,28,17,,,0,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,29.5,2,0,0,29,40,23,10,1,6,,,0,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,3,1,1,9,20,0,62,5,20,,,0,Matches
10,Vasilije Adžić,me MNE,MF,Juventus,18,2006,0.5,0,0,0,1,1,0,0,0,2,,,0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8,2,0,0,16,16,0,13,7,13,,,0,Matches
12,Honest Ahanor,it ITA,"MF,DF",Genoa,16,2008,3,0,0,0,2,8,0,4,1,4,,,0,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,4,0,0,24,18,0,6,11,19,,,0,Matches
15,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,0.5,0,0,0,3,1,0,0,0,0,,,0,Matches
16,Faride Alidou,de GER,FW,Hellas Verona,23,2001,0.8,0,0,0,1,0,0,3,1,0,,,0,Matches
17,Dele Alli,eng ENG,"FW,MF",Como,28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,12.4,5,0,0,15,15,2,11,20,14,,,0,Matches
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,2,0,0,10,2,0,7,18,12,,,1,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2,0,0,0,4,1,0,3,0,2,,,0,Matches
21,Angeliño,es ESP,"MF,DF",Roma,27,1997,35.3,1,0,0,32,33,5,119,28,24,,,0,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,12.4,3,0,0,24,19,0,17,13,15,,,0,Matches
24,Marko Arnautović,at AUT,FW,Inter,35,1989,6.1,1,0,0,4,6,8,5,1,6,,,0,Matches
25,Kristjan Asllani,al ALB,MF,Inter,22,2002,11,4,0,0,9,19,0,41,8,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,13.9,5,0,0,15,14,1,24,7,10,,,0,Matches
27,Emil Audero,id IDN,GK,Como,27,1997,8,0,0,0,0,1,0,0,0,0,,,0,Matches
28,Tommaso Augello,it ITA,"MF,DF",Cagliari,29,1994,30.1,3,0,0,15,11,3,208,14,27,,,0,Matches
29,Carlos Augusto,br BRA,"DF,MF",Inter,25,1999,18.8,1,0,0,10,12,3,21,11,14,,,0,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,18.3,4,0,0,16,9,1,8,18,13,,,0,Matches
31,Paulo Azzi,br BRA,MF,Cagliari,30,1994,4.7,2,0,0,5,3,0,22,4,9,,,0,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,0.2,0,0,0,0,2,0,0,2,0,,,0,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19,2005,0.3,0,0,0,0,1,0,0,1,0,,,0,Matches
34,Milan Badelj,hr CRO,MF,Genoa,35,1989,16.4,2,0,0,18,19,0,5,22,16,,,0,Matches
35,Mitchel Bakker,nl NED,"DF,MF",Atalanta,24,2000,0.2,0,0,0,1,0,0,1,0,0,,,0,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21,2003,9.2,2,0,0,7,16,0,6,6,6,,,0,Matches
37,Keita Baldé,sn SEN,FW,Monza,29,1995,7.1,2,0,0,7,23,3,6,2,1,,,0,Matches
38,Botond Balogh,hu HUN,DF,Parma,22,2002,22.8,5,0,0,17,7,0,1,25,17,,,0,Matches
39,Mario Balotelli,it ITA,FW,Genoa,33,1990,0.7,2,0,0,2,2,0,3,0,0,,,0,Matches
40,Lameck Banda,zm ZAM,"MF,FW",Lecce,23,2001,6.8,1,0,0,10,20,2,23,3,5,,,0,Matches
