"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Mateo Retegui";"Atalanta";36;2435;25;21;8;23.06;19.25;5.46;26.74;7.06;0.85;0.71;0.2;1.05;0.91;0.99;0.26
2;"Moise Kean";"Fiorentina";32;2722;19;18;3;21.89;20.37;2.32;22.37;2.27;0.72;0.67;0.08;0.8;0.75;0.74;0.08
3;"Ademola Lookman";"Atalanta";31;2295;15;14;5;13.81;13.05;8.89;24.82;8.26;0.54;0.51;0.35;0.89;0.86;0.97;0.32
4;"Riccardo Orsolini";"Bologna";30;1914;15;12;4;10.36;8.07;4.65;13.58;3.47;0.49;0.38;0.22;0.71;0.6;0.64;0.16
5;"Romelu Lukaku";"Napoli";36;2913;14;11;10;13.29;10.25;4.24;16.94;4.89;0.41;0.32;0.13;0.54;0.45;0.52;0.15
6;"Marcus Thuram";"Inter";32;2316;14;14;4;12.12;12.12;4.55;20.55;6.45;0.47;0.47;0.18;0.65;0.65;0.8;0.25
7;"Scott McTominay";"Napoli";34;2938;12;12;4;8.86;8.86;2.84;17.02;7.91;0.27;0.27;0.09;0.36;0.36;0.52;0.24
8;"Lautaro Martínez";"Inter";31;2605;12;12;3;14.97;14.97;5.21;20.42;4.46;0.52;0.52;0.18;0.7;0.7;0.71;0.15
9;"Artem Dovbyk";"Roma";32;2454;12;10;2;14.35;12.83;2.92;14.93;3.34;0.53;0.47;0.11;0.63;0.58;0.55;0.12
10;"Lorenzo Lucca";"Udinese";33;2369;12;11;1;9.25;8.49;1.42;9.29;1.94;0.35;0.32;0.05;0.41;0.38;0.35;0.07
11;"Christian Pulisic";"AC Milan";34;2518;11;8;9;11.68;8.63;7.22;21.97;9.79;0.42;0.31;0.26;0.68;0.57;0.79;0.35
12;"Nikola Krstovic";"Lecce";37;3096;11;9;5;12.19;9.91;3.57;13.79;3.11;0.35;0.29;0.1;0.46;0.39;0.4;0.09
