Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,16,11,"1,033",11.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,24,1999,32,32,"2,842",31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.1,0.13,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
5,Ali Abdi,tn TUN,MF,Nice,30,1993,25,17,"1,393",15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,34,33,"2,768",30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches
7,Abner,br BRA,"DF,MF",Lyon,24,2000,19,12,"1,090",12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,26,22,"1,901",21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches
10,Martin Adeline,fr FRA,MF,Reims,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Adryelson,br BRA,DF,Lyon,26,1998,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14,14,"1,260",14,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
13,Jeremy Agbonifo,se SWE,FW,Lens,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
14,Ruben Aguilar,fr FRA,"MF,DF",Lens,31,1993,16,13,"1,124",12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches
15,Naouirou Ahamada,fr FRA,MF,Rennes,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,26,26,"1,959",21.8,2,0,2,2,0,0,7,0,0.09,0,0.09,0.09,0.09,Matches
17,Ayman Aiki,fr FRA,MF,Saint-Étienne,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,31,29,"2,495",27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
20,Sergio Akieme,es ESP,DF,Reims,26,1997,30,29,"2,523",28,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,Matches
21,Maghnes Akliouche,fr FRA,MF,Monaco,22,2002,32,27,"2,406",26.7,5,10,15,4,1,1,2,0,0.19,0.37,0.56,0.15,0.52,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,22,2001,31,29,"2,486",27.6,0,1,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
24,Chuba Akpom,eng ENG,FW,Lille,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,0.42,0.14,0.56,0.28,0.42,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,20,2004,27,21,"1,621",18,3,4,7,3,0,0,2,0,0.17,0.22,0.39,0.17,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Jim Allevinah,ga GAB,MF,Angers,29,1995,28,23,"1,750",19.4,1,3,4,1,0,0,3,0,0.05,0.15,0.21,0.05,0.21,Matches
27,Thiago Almada,ar ARG,MF,Lyon,23,2001,16,9,951,10.6,1,4,5,1,0,0,3,0,0.09,0.38,0.47,0.09,0.47,Matches
28,Jordan Amavi,fr FRA,DF,Brest,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,26,1998,30,23,"2,165",24.1,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,28,1996,30,27,"2,437",27.1,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches
31,Samuel Amo-Ameyaw,eng ENG,MF,Strasbourg,18,2006,9,3,320,3.6,2,0,2,2,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,18,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
33,Benjamin André,fr FRA,MF,Lille,33,1990,30,30,"2,692",29.9,0,3,3,0,0,0,12,0,0,0.1,0.1,0,0.1,Matches
34,Kyllian Antonio,fr FRA,"MF,DF",Lens,16,2008,3,2,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32,1992,29,22,"2,128",23.6,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
