Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,73,gm GAM,FW,20,2004,0.7,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
21,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ma MAR,DF,18,2006,0.2,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,16,2,373,4.1,0,0,0,0,0,0,2,1,0,0,0,0,0,110,pl POL,DF,28,1995,4.1,0,6,0,0,1.45,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
169,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22,2002,27,22,"1,871",20.8,8,4,12,8,0,0,2,0,0.38,0.19,0.58,0.38,0.58,169,cz CZE,"FW,MF",22,2002,20.8,8,59,25,42.4,2.84,1.2,0.14,0.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,32,18,"1,598",17.8,4,1,5,4,0,0,1,0,0.23,0.06,0.28,0.23,0.28,34,de GER,"MF,FW",27,1997,17.8,4,39,13,33.3,2.2,0.73,0.1,0.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
341,Alassane Pléa,fr FRA,MF,Gladbach,31,1993,30,24,"1,902",21.1,11,4,15,10,1,1,3,0,0.52,0.19,0.71,0.47,0.66,341,fr FRA,MF,31,1993,21.1,11,42,14,33.3,1.99,0.66,0.24,0.71,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
128,Aleix García,es ESP,MF,Leverkusen,27,1997,28,17,"1,455",16.2,3,4,7,3,0,0,3,0,0.19,0.25,0.43,0.19,0.43,128,es ESP,MF,27,1997,16.2,3,15,5,33.3,0.93,0.31,0.2,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
331,Aleksandar Pavlovic,de GER,MF,Bayern Munich,20,2004,21,18,"1,451",16.1,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,331,de GER,MF,20,2004,16.1,1,9,4,44.4,0.56,0.25,0.11,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,19,15,"1,263",14,7,2,9,7,0,0,3,0,0.5,0.14,0.64,0.5,0.64,46,se SWE,"FW,MF",25,1998,14,7,27,14,51.9,1.92,1,0.26,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bundesliga
273,Alexander Meyer,de GER,GK,Dortmund,33,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,273,de GER,GK,33,1991,2,0,0,0,,0,0,,,0,0,16,de GER,GK,33,1991,2,2,180,2,4,2,11,7,63.6,1,0,1,0,0,0,0,0,0,,Bundesliga
