Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
190,Aaron Donnelly,nir NIR,DF,Colchester United,21,2003,17,14,"1,288",14.3,0,0,0,0,0,0,1,0,0,0,0,0,0,190,nir NIR,DF,21,2003,14.3,0,3,0,0,0.21,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
192,Aaron Drinan,ie IRL,"FW,MF",Swindon Town,26,1998,28,16,"1,697",18.9,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21,192,ie IRL,"FW,MF",26,1998,18.9,3,32,10,31.3,1.7,0.53,0.09,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
295,Aaron Hayden,eng ENG,DF,Carlisle United,27,1997,24,23,"1,972",21.9,3,1,4,3,0,0,10,0,0.14,0.05,0.18,0.14,0.18,295,eng ENG,DF,27,1997,21.9,3,17,7,41.2,0.78,0.32,0.18,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
495,Aaron Nemane,eng ENG,MF,Milton Keynes Dons,26,1997,40,36,"2,988",33.2,0,9,9,0,0,0,7,0,0,0.27,0.27,0,0.27,495,eng ENG,MF,26,1997,33.2,0,16,5,31.3,0.48,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
551,Aaron Pickles,eng ENG,DF,Accrington Stanley,19,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,551,eng ENG,DF,19,2005,0.3,0,1,1,100,3.91,3.91,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
561,Aaron Pressley,sct SCO,FW,Barrow,23,2001,21,15,"1,255",13.9,4,1,5,4,0,1,1,0,0.29,0.07,0.36,0.29,0.36,561,sct SCO,FW,23,2001,13.9,4,32,15,46.9,2.29,1.08,0.13,0.27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
583,Aaron Rowe,eng ENG,"MF,FW",Gillingham,23,2000,16,10,757,8.4,1,3,4,1,0,0,5,0,0.12,0.36,0.48,0.12,0.48,583,eng ENG,"MF,FW",23,2000,8.4,1,12,7,58.3,1.43,0.83,0.08,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
730,Aaron Wildig,wls WAL,MF,Newport County,32,1992,15,15,"1,158",12.9,4,0,4,4,0,0,4,0,0.31,0,0.31,0.31,0.31,730,wls WAL,MF,32,1992,12.9,4,14,7,50,1.09,0.54,0.29,0.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
115,Adam Chicksen,zw ZIM,MF,Notts County,32,1991,2,2,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,115,zw ZIM,MF,32,1991,1.4,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
223,Adam Fairclough,eng ENG,MF,Morecambe,17,2007,5,0,75,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,223,eng ENG,MF,17,2007,0.8,0,2,1,50,2.4,1.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
