Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League,Fls,Fld,Crs,Int,TklW,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Gls/90,Ast/90,Fls/90,Fld/90,Crs/90,Int/90,TklW/90
113,Aaron Cresswell,eng ENG,DF,West Ham United,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0,0,0,0,0,113,eng ENG,DF,34,1989,9.2,0,5.0,0.0,0,0.5434782608695653,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,4.0,2.0,37.0,8.0,8.0,,,,,,,,,0.0,0.0,0.4347826086956522,0.2173913043478261,4.021739130434783,0.8695652173913044,0.8695652173913044
425,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,30.0,0,0,0,0,0,0,2,0,0,0,0,0,0,425,eng ENG,GK,26,1998,30,0,0.0,0.0,,0.0,0.0,,,0,0,32,eng ENG,GK,26,1998,30,30,"2,700",30,66,2.2,182,123,66.5,2,5,23,3,10,7,5,2,0,28.6,Premier League,1.0,4.0,0.0,1.0,0.0,,,,,,,,,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.0
543,Aaron Wan-Bissaka,cd COD,"DF,MF",West Ham United,26,1997,36,35,3154,35.0,2,5,7,2,0,0,1,0,0.06,0.14,0.2,0.06,0.2,543,cd COD,"DF,MF",26,1997,35,2,16.0,5.0,31.3,0.45714285714285713,0.14285714285714285,0.13,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,25.0,28.0,76.0,61.0,49.0,,,,,,,,,0.05714285714285714,0.14285714285714285,0.7142857142857143,0.8,2.1714285714285713,1.7428571428571429,1.4
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,0.11,0.07,0.18,0.11,0.18,147,ml MLI,MF,31,1993,28.5,3,31.0,10.0,32.3,1.087719298245614,0.3508771929824561,0.1,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,49.0,5.0,23.0,11.0,28.0,,,,,,,,,0.10526315789473684,0.07017543859649122,1.719298245614035,0.17543859649122806,0.8070175438596491,0.38596491228070173,0.9824561403508771
284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,284,uz UZB,DF,20,2004,5.6,0,1.0,0.0,0,0.17857142857142858,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,3.0,3.0,1.0,3.0,4.0,,,,,,,,,0.0,0.0,0.5357142857142857,0.5357142857142857,0.17857142857142858,0.5357142857142857,0.7142857142857143
177,Abdul Fatawu Issahaku,gh GHA,"MF,FW",Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0,0.31,0.31,0,0.31,177,gh GHA,"MF,FW",20,2004,6.4,0,13.0,5.0,38.5,2.03125,0.78125,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,11.0,20.0,29.0,4.0,15.0,,,,,,,,,0.0,0.3125,1.71875,3.125,4.53125,0.625,2.34375
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,0.14,0.14,0.29,0.14,0.29,34,eng ENG,"FW,MF",27,1997,13.9,2,26.0,9.0,34.6,1.870503597122302,0.6474820143884892,0.08,0.22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,12.0,5.0,14.0,4.0,3.0,,,,,,,,,0.14388489208633093,0.14388489208633093,0.8633093525179856,0.3597122302158273,1.0071942446043165,0.28776978417266186,0.2158273381294964
299,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0,0.5,0.5,0,0.5,299,eng ENG,MF,36,1988,4,0,3.0,0.0,0,0.75,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,8.0,8.0,4.0,5.0,5.0,,,,,,,,,0.0,0.5,2.0,2.0,1.0,1.25,1.25
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,1590,17.7,0,0,0,0,0,0,7,0,0,0,0,0,0,478,eng ENG,DF,33,1991,17.7,0,3.0,0.0,0,0.16949152542372883,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,19.0,12.0,33.0,15.0,14.0,,,,,,,,,0.0,0.0,1.073446327683616,0.6779661016949153,1.864406779661017,0.8474576271186441,0.7909604519774012
549,Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,549,eng ENG,DF,29,1995,9.9,0,5.0,1.0,20,0.5050505050505051,0.10101010101010101,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,7.0,2.0,2.0,20.0,7.0,,,,,,,,,0.0,0.0,0.7070707070707071,0.20202020202020202,0.20202020202020202,2.0202020202020203,0.7070707070707071
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,1318,14.6,0,2,2,0,0,0,2,0,0,0.14,0.14,0,0.14,553,eng ENG,MF,20,2004,14.6,0,13.0,5.0,38.5,0.8904109589041096,0.3424657534246575,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,12.0,21.0,39.0,19.0,16.0,,,,,,,,,0.0,0.136986301369863,0.8219178082191781,1.4383561643835616,2.671232876712329,1.3013698630136987,1.095890410958904
