,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,9,86,28,32.6,2.18,0.71,0.1,0.32,0,0,Matches,,,,,,,,
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,2,38,11,28.9,2.26,0.65,0.05,0.18,0,0,Matches,,,,,,,,
3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,0,4,1,25,0.26,0.07,0,0,0,0,Matches,,,,,,,,
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
5,Azeem Abdulai,sct SCO,MF,Swansea City,21,2002,3.9,1,2,1,50,0.52,0.26,0.5,1,0,0,Matches,,,,,,,,
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,6,51,11,21.6,1.21,0.26,0.12,0.55,0,0,Matches,,,,,,,,
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,5,69,32,46.4,2.56,1.19,0.07,0.16,0,0,Matches,,,,,,,,
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
9,Enock Agyei,be BEL,FW,Burnley,19,2005,0.6,0,2,0,0,3.1,0,0,,0,0,Matches,,,,,,,,
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,25,1999,34.8,3,12,4,33.3,0.34,0.11,0.25,0.75,0,0,Matches,,,,,,,,
11,Semi Ajayi,ng NGA,DF,West Bromwich Albion,30,1993,13.6,0,5,1,20,0.37,0.07,0,0,0,0,Matches,,,,,,,,
12,Milan Aleksić,rs SRB,MF,Sunderland,18,2005,3.2,0,6,4,66.7,1.86,1.24,0,0,0,0,Matches,,,,,,,,
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,7.8,0,3,1,33.3,0.38,0.13,0,0,0,0,Matches,,,,,,,,
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,11.2,0,10,2,20,0.9,0.18,0,0,0,0,Matches,,,,,,,,
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,7.9,1,6,3,50,0.76,0.38,0.17,0.33,0,0,Matches,,,,,,,,
16,Millenic Alli,ie IRL,"MF,FW",Luton Town,24,2000,8.5,4,22,7,31.8,2.58,0.82,0.18,0.57,0,0,Matches,,,,,,,,
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
18,Will Alves,eng ENG,"MF,FW",Cardiff City,19,2005,7.4,1,13,4,30.8,1.75,0.54,0.08,0.25,0,0,Matches,,,,,,,,
19,Steven Alzate,co COL,MF,Hull City,25,1998,21.6,0,15,1,6.7,0.7,0.05,0,0,0,0,Matches,,,,,,,,
20,Zeki Amdouni,ch SUI,"FW,MF",Burnley,23,2000,0.4,1,1,1,100,2.57,2.57,1,1,0,0,Matches,,,,,,,,
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,23,2000,25.4,0,11,2,18.2,0.43,0.08,0,0,0,0,Matches,,,,,,,,
22,Nordin Amrabat,ma MAR,MF,Hull City,37,1987,3.2,0,4,1,25,1.25,0.31,0,0,0,0,Matches,,,,,,,,
23,Lucas Andersen,dk DEN,MF,Queens Park Rangers,29,1994,12.9,2,19,8,42.1,1.47,0.62,0.11,0.25,0,0,Matches,,,,,,,,
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,1.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
25,Ryan Andrews,eng ENG,"MF,DF",Watford,19,2004,23.2,3,32,10,31.3,1.38,0.43,0.09,0.3,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
26,Jaidon Anthony,eng ENG,MF,Burnley,24,1999,40.7,8,97,34,35.1,2.38,0.84,0.08,0.24,0,0,Matches,,,,,,,,
27,Adil Aouchiche,fr FRA,MF,Portsmouth,22,2002,7.6,1,14,6,42.9,1.84,0.79,0.07,0.17,0,0,Matches,,,,,,,,
28,Adil Aouchiche,fr FRA,MF,Sunderland,22,2002,3.3,0,14,7,50,4.26,2.13,0,0,0,0,Matches,,,,,,,,
29,Oliver Arblaster,eng ENG,MF,Sheffield United,20,2004,10.9,2,10,3,30,0.92,0.28,0.2,0.67,0,0,Matches,,,,,,,,
30,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,1.7,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
31,Adam Armstrong,eng ENG,"FW,MF",West Bromwich Albion,27,1997,11.2,3,26,11,42.3,2.32,0.98,0.08,0.18,1,1,Matches,,,,,,,,
32,Harrison Armstrong,eng ENG,MF,Derby County,17,2007,12.3,1,9,3,33.3,0.73,0.24,0.11,0.33,0,0,Matches,,,,,,,,
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21,2003,17.3,3,41,17,41.5,2.37,0.98,0.07,0.18,0,0,Matches,,,,,,,,
34,Stuart Armstrong,sct SCO,MF,Sheffield Weds,32,1992,6,0,13,2,15.4,2.18,0.34,0,0,0,0,Matches,,,,,,,,
35,Harrison Ashby,sct SCO,"DF,MF",Queens Park Rangers,22,2001,17.6,0,13,4,30.8,0.74,0.23,0,0,0,0,Matches,,,,,,,,
36,Cian Ashford,wls WAL,"MF,FW",Cardiff City,19,2004,16.9,2,21,4,19,1.24,0.24,0.1,0.5,0,0,Matches,,,,,,,,
37,Robert Atkinson,eng ENG,DF,Portsmouth,26,1998,12.2,2,6,2,33.3,0.49,0.16,0.33,1,0,0,Matches,,,,,,,,
38,Luke Ayling,eng ENG,DF,Middlesbrough,32,1991,21.7,0,14,2,14.3,0.65,0.09,0,0,0,0,Matches,,,,,,,,
39,Finn Azaz,ie IRL,MF,Middlesbrough,23,2000,39.4,12,123,40,32.5,3.12,1.02,0.1,0.3,0,0,Matches,,,,,,,,
40,Femi Azeez,eng ENG,MF,Millwall,23,2001,21.2,2,52,19,36.5,2.46,0.9,0.04,0.11,0,0,Matches,,,,,,,,
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,21,2003,16.2,4,25,12,48,1.54,0.74,0.16,0.33,0,0,Matches,,,,,,,,
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,21.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
43,Joel Bagan,ie IRL,DF,Cardiff City,24,2000,17.9,0,2,2,100,0.11,0.11,0,0,0,0,Matches,,,,,,,,
44,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25,1999,5,0,2,1,50,0.4,0.2,0,0,0,0,Matches,,,,,,,,
45,Lewis Baker,eng ENG,MF,Stoke City,29,1995,16.4,6,27,12,44.4,1.65,0.73,0.15,0.33,2,2,Matches,,,,,,,,
46,Lewis Baker,eng ENG,MF,Blackburn Rovers,29,1995,6.6,1,12,4,33.3,1.81,0.6,0.08,0.25,0,0,Matches,,,,,,,,
47,Daniel Ballard,nir NIR,DF,Sunderland,24,1999,12.5,2,13,6,46.2,1.04,0.48,0.15,0.33,0,0,Matches,,,,,,,,
48,Patrick Bamford,eng ENG,"FW,MF",Leeds United,30,1993,2.8,0,12,2,16.7,4.29,0.71,0,0,0,0,Matches,,,,,,,,
49,Raees Bangura-Williams,,MF,Millwall,,,6.8,0,8,2,25,1.18,0.3,0,0,0,0,Matches,,,,,,,,
50,Tamer Bani Odeh,jo JOR,FW,West Bromwich Albion,20,2003,0.6,0,3,0,0,5.09,0,0,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,38.5,4,48,10,20.8,1.25,0.26,0.08,0.4,0,0,Matches,,,,,,,,
52,Jamal Baptiste,eng ENG,DF,Sheffield United,20,2003,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,8,1,6,2,33.3,0.75,0.25,0.17,0.5,0,0,Matches,,,,,,,,
