Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Max Aarons,eng ENG,DF,Valencia,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,29,"2,463",27.4,0,1,1,0,0,0,13,0,0,0.04,0.04,0,0.04,Matches
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Adrián,es ESP,GK,Real Betis,37,1987,19,19,"1,710",19,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,24,"2,114",23.5,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Matches
9,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches
10,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,21,21,"1,760",19.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
12,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Ilias Akhomach,ma MAR,MF,Villarreal,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
15,David Alaba,at AUT,DF,Real Madrid,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,3,1,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,38,1985,15,14,"1,188",13.2,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
18,Omar Alderete,py PAR,DF,Getafe,27,1996,34,34,"2,971",33,1,0,1,1,0,0,8,0,0.03,0,0.03,0.03,0.03,Matches
19,Carles Aleñá,es ESP,MF,Getafe,26,1998,10,5,452,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
20,Carles Aleñá,es ESP,MF,Alavés,26,1998,14,13,"1,090",12.1,0,2,2,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,26,14,"1,371",15.2,5,2,7,5,0,0,1,1,0.33,0.13,0.46,0.33,0.46,Matches
22,Tadeo Allende,ar ARG,MF,Celta Vigo,25,1999,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,34,24,"1,977",22,0,4,4,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
24,Iker Almena,es ESP,MF,Girona,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0,1.87,1.87,0,1.87,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,31,29,"2,647",29.4,3,0,3,0,3,3,10,2,0.1,0,0.1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,22,19,"1,630",18.1,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
27,Sergi Altimira,es ESP,MF,Real Betis,22,2001,32,22,"1,972",21.9,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches
28,Hugo Álvarez,es ESP,MF,Celta Vigo,21,2003,26,16,"1,572",17.5,4,3,7,4,0,0,6,0,0.23,0.17,0.4,0.23,0.4,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,37,30,"2,509",27.9,17,4,21,13,4,4,5,0,0.61,0.14,0.75,0.47,0.61,Matches
