,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Corey Addai,jm JAM,GK,Stockport,26,1997,29,28,"2,521",28,28,1,78,55,67.9,14,9,5,10,35.7,5,3,2,0,40,Matches
2,Ryan Allsop,eng ENG,GK,Birmingham City,32,1992,38,38,"3,419",38,20,0.53,86,67,76.7,28,8,2,21,55.3,1,0,1,0,100,Matches
3,Taye Ashby-Hammond,eng ENG,GK,Stevenage,25,1999,9,9,810,9,16,1.78,38,23,57.9,1,2,6,1,11.1,1,0,1,0,100,Matches
4,Nathan Baxter,eng ENG,GK,Bolton Wanderers,25,1998,26,26,"2,340",26,43,1.65,106,67,63.2,10,3,13,6,23.1,4,4,0,0,0,Matches
5,Nicholas Bilokapic,au AUS,GK,Peterborough United,21,2002,18,18,"1,620",18,33,1.83,81,51,60.5,4,3,11,2,11.1,3,1,2,0,66.7,Matches
6,Nathan Bishop,eng ENG,GK,Wycombe Wanderers,24,1999,2,2,180,2,6,3,12,6,50,0,0,2,0,0,0,0,0,0,,Matches
7,Nathan Bishop,eng ENG,GK,Cambridge United,24,1999,14,13,"1,209",13.4,18,1.34,56,40,69.6,2,4,7,2,15.4,2,1,1,0,50,Matches
8,Jamal Blackman,eng ENG,GK,Shrewsbury Town,30,1993,27,27,"2,430",27,40,1.48,102,63,61.8,5,7,15,3,11.1,2,1,1,0,50,Matches
9,Will Blackmore,eng ENG,GK,Peterborough United,21,2003,3,3,270,3,7,2.33,17,10,58.8,0,1,2,0,0,0,0,0,0,,Matches
10,Coniah Boyce-Clarke,jm JAM,GK,Reading,21,2003,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches
11,Lee Burge,eng ENG,GK,Northampton Town,31,1993,30,30,"2,674",29.7,38,1.28,110,73,66.4,7,12,11,7,23.3,2,1,1,0,50,Matches
12,Callum Burton,eng ENG,GK,Wrexham,27,1996,4,4,292,3.2,1,0.31,12,11,91.7,3,0,1,3,75,0,0,0,0,,Matches
13,David Button,eng ENG,GK,Reading,35,1989,5,5,450,5,10,2,29,21,72.4,3,0,2,0,0,2,2,0,0,0,Matches
14,Joel Castro Pereira,pt POR,GK,Reading,28,1996,40,40,"3,600",40,46,1.15,179,136,76,18,12,10,13,32.5,4,3,1,0,25,Matches
15,Jacob Chapman,au AUS,GK,Huddersfield Town,23,2000,23,23,"2,070",23,24,1.04,66,43,65.2,10,6,7,9,39.1,1,1,0,0,0,Matches
16,Murphy Cooper,eng ENG,GK,Stevenage,22,2001,37,37,"3,330",37,34,0.92,96,65,67.7,14,10,13,16,43.2,3,3,0,0,0,Matches
