,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Thelo Aasgaard,no NOR,MF,Wigan Athletic,22,2002,26,23,"2,082",23.1,9,1,10,9,0,0,1,0,0.39,0.04,0.43,0.39,0.43,Matches
2,Azeem Abdulai,sct SCO,"MF,FW",Leyton Orient,21,2002,21,11,"1,047",11.6,4,1,5,4,0,0,4,0,0.34,0.09,0.43,0.34,0.43,Matches
3,Dave Abimbola,,FW,Bolton Wanderers,,,4,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Ken Aboh,eng ENG,FW,Stevenage,19,2004,3,0,61,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Kelvin Abrefa,eng ENG,DF,Reading,20,2003,27,11,"1,182",13.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
6,Tayo Adaramola,ie IRL,"DF,MF",Stockport,20,2003,6,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
7,Corey Addai,jm JAM,GK,Stockport,26,1997,29,28,"2,521",28,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Rio Adebisi,eng ENG,"DF,MF",Peterborough United,23,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Victor Adeboyejo,eng ENG,FW,Bolton Wanderers,26,1998,27,12,"1,190",13.2,3,0,3,3,0,0,2,0,0.23,0,0.23,0.23,0.23,Matches
10,Babajide Adeeko,ie IRL,MF,Wigan Athletic,21,2003,31,23,"2,020",22.4,1,0,1,1,0,0,6,0,0.04,0,0.04,0.04,0.04,Matches
11,Ade Adeyemo,eng ENG,MF,Crawley Town,26,1998,29,11,"1,162",12.9,4,0,4,4,0,0,3,0,0.31,0,0.31,0.31,0.31,Matches
12,Dan Agyei,eng ENG,"MF,FW",Leyton Orient,27,1997,41,31,"2,608",29,7,8,15,7,0,0,4,0,0.24,0.28,0.52,0.24,0.52,Matches
13,Ashqar Ahmed,,DF,Reading,,,5,0,63,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
14,Will Aimson,eng ENG,DF,Wigan Athletic,28,1995,43,42,"3,701",41.1,0,1,1,0,0,0,7,1,0,0.02,0.02,0,0.02,Matches
15,Jack Aitchison,sct SCO,MF,Exeter City,24,2000,28,22,"1,791",19.9,0,2,2,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
16,David Ajiboye,eng ENG,"MF,DF",Peterborough United,25,1998,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Adrian Akande,ng NGA,FW,Reading,20,2003,15,4,442,4.9,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
18,Lucas Akins,gd GRN,"FW,MF",Mansfield Town,35,1989,34,29,"2,639",29.3,2,4,6,2,0,1,3,0,0.07,0.14,0.2,0.07,0.2,Matches
