,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Ben Amos,eng ENG,GK,Port Vale,34,1990,23,23,"2,070",23,22,0.96,70,53,74.3,12,7,4,9,39.1,5,4,1,0,20,Matches
2,Luca Ashby-Hammond,eng ENG,GK,Gillingham,23,2001,1,0,19,0.2,1,4.74,2,1,50,0,0,0,0,,0,0,0,0,,Matches
3,Sebastian Auton,,GK,Grimsby Town,,,1,0,75,0.8,1,1.2,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
4,Daniel Barden,wls WAL,GK,Swindon Town,23,2001,12,12,"1,060",11.8,16,1.36,30,18,60,4,4,4,1,8.3,4,4,0,0,0,Matches
5,Alex Bass,eng ENG,GK,Notts County,26,1998,39,39,"3,429",38.1,42,1.1,163,123,75.5,18,10,11,13,33.3,2,2,0,0,0,Matches
6,James Belshaw,eng ENG,GK,Harrogate Town FC,33,1990,45,45,"4,000",44.4,58,1.31,192,136,70.3,13,11,21,11,24.4,4,1,1,2,50,Matches
7,Ryan Boot,eng ENG,GK,Chesterfield,29,1994,28,28,"2,520",28,30,1.07,89,61,68.5,12,8,8,9,32.1,2,2,0,0,0,Matches
8,Gabriel Breeze,eng ENG,GK,Carlisle United,20,2003,32,32,"2,880",32,43,1.34,155,117,74.8,8,10,14,7,21.9,5,4,1,0,20,Matches
9,Harry Burgoyne,eng ENG,GK,Morecambe,27,1996,28,26,"2,415",26.8,38,1.42,126,90,71.4,7,2,17,5,19.2,2,2,0,0,0,Matches
10,Jack Bycroft,eng ENG,GK,Swindon Town,22,2001,21,20,"1,820",20.2,31,1.53,87,56,64.4,6,7,7,5,25,0,0,0,0,,Matches
11,Jacob Carney,eng ENG,GK,Newport County,23,2001,3,3,270,3,6,2,18,12,66.7,0,0,3,0,0,0,0,0,0,,Matches
12,William Crellin,eng ENG,GK,Accrington Stanley,24,2000,34,34,"3,060",34,47,1.38,97,53,54.6,10,9,15,12,35.3,3,3,0,0,0,Matches
13,Joe Day,eng ENG,GK,Cheltenham Town,33,1990,35,35,"3,150",35,51,1.46,144,96,66.7,13,11,11,7,20,3,3,0,0,0,Matches
14,Jake Eastwood,eng ENG,GK,Grimsby Town,27,1996,6,6,465,5.2,6,1.16,23,17,73.9,2,2,2,2,33.3,0,0,0,0,,Matches
15,Owen Evans,wls WAL,GK,Cheltenham Town,27,1996,11,11,990,11,19,1.73,49,31,63.3,3,1,7,1,9.1,1,1,0,0,0,Matches
16,Paul Farman,eng ENG,GK,Barrow,34,1989,28,28,"2,520",28.5,34,1.21,93,61,65.6,11,5,12,9,32.1,2,2,0,0,0,Matches
17,Owen Goodman,ca CAN,GK,AFC Wimbledon,20,2003,46,46,"4,140",46,35,0.76,121,89,73.6,20,13,13,21,45.7,3,3,0,0,0,Matches
18,David Harrington,wls WAL,GK,Fleetwood Town,24,2000,20,20,"1,783",19.8,25,1.26,69,48,68.1,6,8,6,8,40,5,3,1,1,25,Matches
19,Taite Holtam,eng ENG,GK,Gillingham,19,2005,2,2,180,2,1,0.5,4,3,75,1,1,0,1,50,0,0,0,0,,Matches
20,Sam Hornby,eng ENG,GK,Walsall,29,1995,6,6,540,6,9,1.5,22,14,63.6,0,4,2,1,16.7,1,1,0,0,0,Matches
21,Jamie Jones,eng ENG,GK,Salford City FC,35,1989,26,26,"2,340",26,36,1.38,109,73,67.9,6,11,9,5,19.2,1,1,0,0,0,Matches
22,Michael Kelly,ie IRL,GK,Accrington Stanley,28,1996,12,12,"1,080",12,22,1.83,51,29,60.8,2,5,5,1,8.3,2,2,0,0,0,Matches
23,Harry Lewis,eng ENG,GK,Carlisle United,26,1997,14,14,"1,260",14,28,2,56,28,50,2,2,10,3,21.4,0,0,0,0,,Matches
24,Sam Long,eng ENG,GK,Bromley,21,2002,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,Matches
25,Jay Lynch,eng ENG,GK,Fleetwood Town,31,1993,27,26,"2,357",26.2,35,1.34,90,57,64.4,9,7,10,9,34.6,3,3,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Matt Macey,eng ENG,GK,Colchester United,29,1994,46,46,"4,140",46,47,1.02,151,112,74.2,16,19,11,21,45.7,8,8,0,0,0,Matches
27,Craig MacGillivray,sct SCO,GK,Milton Keynes Dons,31,1993,8,8,720,8,4,0.5,18,14,77.8,2,4,2,5,62.5,0,0,0,0,,Matches
28,Filip Marschall,eng ENG,GK,Crewe Alexandra,21,2003,46,46,"4,140",46,48,1.04,157,112,70.7,15,17,14,16,34.8,4,2,1,1,33.3,Matches
29,Luke McGee,eng ENG,GK,Tranmere Rovers,28,1995,46,46,"4,140",46,65,1.41,168,108,64.3,12,15,19,12,26.1,7,5,2,0,28.6,Matches
30,Tom McGill,eng ENG,GK,Milton Keynes Dons,24,2000,25,25,"2,250",25,37,1.48,121,85,70.2,10,4,11,3,12,1,1,0,0,0,Matches
31,Stuart Moore,eng ENG,GK,Morecambe,29,1994,15,15,"1,335",14.8,25,1.69,67,45,67.2,2,4,9,1,6.7,3,3,0,0,0,Matches
32,Glenn Morris,eng ENG,GK,Gillingham,40,1983,36,35,"3,176",35.3,36,1.02,123,87,71.5,10,13,12,13,37.1,1,1,0,0,0,Matches
33,Mark Oxley,eng ENG,GK,Harrogate Town FC,33,1990,2,1,140,1.6,3,1.93,5,2,40,1,0,0,0,0,0,0,0,0,,Matches
34,Connor Ripley,eng ENG,GK,Port Vale,31,1993,23,23,"2,070",23,24,1.04,76,52,68.4,10,7,6,9,39.1,0,0,0,0,,Matches
35,Connor Ripley,eng ENG,GK,Swindon Town,31,1993,14,14,"1,260",14,16,1.14,50,32,68,5,6,3,5,35.7,0,0,0,0,,Matches
36,Ryan Schofield,eng ENG,GK,Morecambe,24,1999,5,5,390,4.3,9,2.08,22,13,59.1,1,0,4,1,20,0,0,0,0,,Matches
37,Teddy Sharman,eng ENG,GK,Doncaster Rovers,21,2003,46,46,"4,140",46,50,1.09,133,86,63.9,24,12,10,13,28.3,3,2,1,0,33.3,Matches
38,Tommy Simkin,eng ENG,GK,Walsall,19,2004,40,40,"3,600",40,45,1.13,111,69,62.2,21,10,9,14,35,3,3,0,0,0,Matches
39,Sam Slocombe,eng ENG,GK,Notts County,36,1988,8,7,711,7.9,7,0.89,19,12,63.2,2,2,3,4,57.1,0,0,0,0,,Matches
