,,,,,,,,Standard,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,George Abbott,eng ENG,MF,Notts County,18,2005,37.8,5,61,14,23,1.61,0.37,0.08,0.36,0,0,Matches
2,Ken Aboh,eng ENG,FW,Colchester United,19,2004,0.1,0,1,1,100,9,9,0,0,0,0,Matches
3,Emile Acquah,eng ENG,"FW,MF",Barrow,24,2000,19.8,6,46,16,34.8,2.32,0.81,0.13,0.38,0,0,Matches
4,Finlay Adair,eng ENG,FW,Fleetwood Town,19,2005,0,0,0,0,,0,0,,,0,0,Matches
5,Joe Adams,eng ENG,MF,Bradford City,20,2004,0.2,0,0,0,,0,0,,,0,0,Matches
6,Tayo Adaramola,ie IRL,MF,Bradford City,20,2003,13.9,0,10,2,20,0.72,0.14,0,0,0,0,Matches
7,Val Adedokun,ie IRL,DF,Cheltenham Town,21,2003,11.5,0,3,2,66.7,0.26,0.17,0,0,0,0,Matches
8,Hakeeb Adelakun,eng ENG,"FW,MF",Salford City FC,28,1996,24.2,13,61,27,44.3,2.52,1.11,0.13,0.3,5,5,Matches
9,Albert Adomah,gh GHA,FW,Walsall,36,1987,14.8,5,31,10,32.3,2.1,0.68,0.16,0.5,0,0,Matches
10,Daniel Adu-Adjei,eng ENG,"FW,MF",Carlisle United,19,2005,11.4,2,22,8,36.4,1.93,0.7,0.09,0.25,0,0,Matches
11,Asher Agbinone,eng ENG,"MF,FW",Gillingham,18,2005,3.7,0,9,3,33.3,2.46,0.82,0,0,0,0,Matches
12,Calum Agius,wls WAL,FW,Crewe Alexandra,18,2005,3.4,1,3,2,66.7,0.88,0.59,0.33,0.5,0,0,Matches
13,Callum Ainley,eng ENG,MF,Grimsby Town,26,1997,7.9,0,13,3,23.1,1.64,0.38,0,0,0,0,Matches
14,David Ajiboye,eng ENG,"FW,MF",Newport County,25,1998,13.8,2,21,8,38.1,1.52,0.58,0.1,0.25,0,0,Matches
15,Tim Akinola,eng ENG,MF,Chesterfield,23,2001,0.2,0,1,0,0,4.74,0,0,,0,0,Matches
16,Kyle Alex John,eng ENG,"MF,DF",Port Vale,23,2001,22.6,0,8,2,25,0.35,0.09,0,0,0,0,Matches
