,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,George Abbott,eng ENG,MF,Notts County,18,2005,40,37,"3,404",37.8,5,6,11,5,0,0,8,0,0.13,0.16,0.29,0.13,0.29,Matches
2,Ken Aboh,eng ENG,FW,Colchester United,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Emile Acquah,eng ENG,"FW,MF",Barrow,24,2000,39,19,"1,784",19.8,6,0,6,6,0,0,3,0,0.3,0,0.3,0.3,0.3,Matches
4,Finlay Adair,eng ENG,FW,Fleetwood Town,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Joe Adams,eng ENG,MF,Bradford City,20,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Tayo Adaramola,ie IRL,MF,Bradford City,20,2003,16,15,"1,255",13.9,0,3,3,0,0,0,3,0,0,0.22,0.22,0,0.22,Matches
7,Val Adedokun,ie IRL,DF,Cheltenham Town,21,2003,15,11,"1,032",11.5,0,2,2,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
8,Hakeeb Adelakun,eng ENG,"FW,MF",Salford City FC,28,1996,30,23,"2,182",24.2,13,3,16,8,5,5,1,1,0.54,0.12,0.66,0.33,0.45,Matches
9,Albert Adomah,gh GHA,FW,Walsall,36,1987,42,10,"1,330",14.8,5,4,9,5,0,0,5,0,0.34,0.27,0.61,0.34,0.61,Matches
10,Daniel Adu-Adjei,eng ENG,"FW,MF",Carlisle United,19,2005,14,11,"1,028",11.4,2,1,3,2,0,0,2,0,0.18,0.09,0.26,0.18,0.26,Matches
11,Asher Agbinone,eng ENG,"MF,FW",Gillingham,18,2005,6,5,329,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Calum Agius,wls WAL,FW,Crewe Alexandra,18,2005,14,1,307,3.4,1,1,2,1,0,0,2,0,0.29,0.29,0.59,0.29,0.59,Matches
13,Callum Ainley,eng ENG,MF,Grimsby Town,26,1997,26,4,713,7.9,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
14,David Ajiboye,eng ENG,"FW,MF",Newport County,25,1998,21,16,"1,246",13.8,2,1,3,2,0,0,1,0,0.14,0.07,0.22,0.14,0.22,Matches
15,Tim Akinola,eng ENG,MF,Chesterfield,23,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Kyle Alex John,eng ENG,"MF,DF",Port Vale,23,2001,28,24,"2,038",22.6,0,2,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
17,Sonny Aljofree,eng ENG,DF,Accrington Stanley,19,2004,25,24,"2,128",23.6,3,0,3,3,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
18,Taylor Allen,eng ENG,DF,Walsall,24,2000,45,44,"3,952",43.9,10,7,17,8,2,2,5,1,0.23,0.16,0.39,0.18,0.34,Matches
19,George Alston,,FW,Swindon Town,,,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Levi Amantchi,eng ENG,FW,Bromley,23,2000,14,2,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Levi Amantchi,eng ENG,FW,Walsall,23,2000,18,4,601,6.7,3,0,3,3,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
22,Botan Ameen,iq IRQ,MF,Swindon Town,17,2007,14,3,485,5.4,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,Matches
23,Ben Amos,eng ENG,GK,Port Vale,34,1990,23,23,"2,070",23,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
24,Harry Anderson,eng ENG,MF,Colchester United,27,1997,31,20,"1,724",19.2,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21,Matches
