Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,4,11,2.75,19,10,52.6,1,0,3,0,0,2,2,0,0,0,Matches
2,Marco Bizot,nl NED,GK,Brest,33,1991,32,32,"2,880",32,54,1.69,121,76,62,14,5,13,10,31.3,10,8,1,1,11.1,Matches
3,Marcin Bułka,pl POL,GK,Nice,24,1999,34,34,"3,060",34,41,1.21,158,120,75.3,17,9,8,8,23.5,3,2,1,0,33.3,Matches
4,Patrik Carlgren,se SWE,GK,Nantes,32,1992,5,4,417,4.6,7,1.51,28,21,75,1,2,1,1,25,0,0,0,0,,Matches
5,Lucas Chevalier,fr FRA,GK,Lille,22,2001,34,34,"3,060",34,36,1.06,127,94,74.8,17,9,8,11,32.4,4,4,0,0,0,Matches
6,Grégoire Coudert,fr FRA,GK,Brest,25,1999,2,2,180,2,5,2.5,14,9,64.3,1,0,1,0,0,0,0,0,0,,Matches
7,Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2,2,180,2,3,1.5,6,5,66.7,0,1,1,1,50,2,1,1,0,50,Matches
8,Rémy Descamps,fr FRA,GK,Lyon,28,1996,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,"1,620",18,38,2.11,91,56,60.4,5,0,13,3,16.7,3,2,1,0,33.3,Matches
10,Yehvann Diouf,sn SEN,GK,Reims,24,1999,34,34,"3,060",34,47,1.38,176,133,75.6,8,9,17,7,20.6,5,4,1,0,20,Matches
11,Álex Domínguez,es ESP,GK,Toulouse,26,1998,1,0,19,0.2,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches
12,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,25,1999,24,24,"2,091",23.2,25,1.08,75,50,68,18,5,1,4,16.7,1,1,0,0,0,Matches
13,Yahia Fofana,ci CIV,GK,Angers,23,2000,33,33,"2,970",33,51,1.55,184,136,73.9,10,6,17,7,21.2,4,3,0,1,0,Matches
14,Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,0.5,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
15,Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16,16,"1,440",16,33,2.06,80,50,62.5,5,4,7,1,6.3,3,3,0,0,0,Matches
16,Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20,0,0,0,0,,Matches
17,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,3,6,2,21,16,76.2,1,1,1,0,0,1,1,0,0,0,Matches
18,Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,5,8,1.6,24,18,75,1,0,4,0,0,2,2,0,0,0,Matches
19,Philipp Köhn,ch SUI,GK,Monaco,26,1998,19,19,"1,710",19,19,1,64,45,71.9,11,5,3,8,42.1,1,1,0,0,0,Matches
20,Alban Lafont,ci CIV,GK,Nantes,25,1999,12,12,"1,080",12,19,1.58,48,32,66.7,2,4,6,2,16.7,3,3,0,0,0,Matches
21,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34,34,"3,060",34,77,2.26,195,133,67.2,8,6,20,5,14.7,15,13,2,0,13.3,Matches
22,Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,"2,700",30,68,2.27,169,108,63.3,3,4,23,1,3.3,7,6,1,0,14.3,Matches
23,Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,"2,880",32,48,1.5,163,121,73.6,11,8,13,9,28.1,6,5,1,0,16.7,Matches
24,Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,"1,563",17.4,26,1.5,69,47,68.1,5,6,7,3,16.7,5,4,0,1,0,Matches
25,Radosław Majecki,pl POL,GK,Monaco,24,1999,15,15,"1,350",15,22,1.47,63,43,68.3,7,2,6,3,20,2,2,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Steve Mandanda,fr FRA,GK,Rennes,39,1985,18,17,"1,486",16.5,24,1.45,50,29,56,6,2,9,6,35.3,3,2,1,0,33.3,Matches
27,Lucas Perri,br BRA,GK,Lyon,26,1997,33,33,"2,970",33,44,1.33,157,116,73.9,17,6,10,10,30.3,3,3,0,0,0,Matches
28,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,"2,790",31,38,1.23,140,110,77.9,15,8,8,10,32.3,8,7,1,0,12.5,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,"2,543",28.3,36,1.27,92,58,62,9,7,13,9,31,2,1,1,0,50,Matches
30,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,"3,060",34,47,1.38,130,89,66.2,20,5,9,5,14.7,6,3,3,0,50,Matches
31,Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,"1,260",14,17,1.21,57,43,73.7,8,1,5,6,42.9,3,2,1,0,33.3,Matches
32,Matvei Safonov,ru RUS,GK,Paris Saint-Germain,25,1999,10,9,879,9.8,9,0.92,24,17,70.8,7,1,1,3,33.3,2,2,0,0,0,Matches
33,Brice Samba,fr FRA,GK,Rennes,30,1994,17,17,"1,529",17,27,1.59,82,58,68.3,7,0,10,5,29.4,3,1,2,0,66.7,Matches
34,Brice Samba,fr FRA,GK,Lens,30,1994,15,15,"1,350",15,14,0.93,50,40,80,6,6,3,7,46.7,4,4,0,0,0,Matches
35,Arnau Tenas,es ESP,GK,Paris Saint-Germain,23,2001,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
36,Melvin Zinga,fr FRA,GK,Angers,22,2002,1,1,90,1,2,2,3,2,66.7,0,0,1,0,0,1,1,0,0,0,Matches
