,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Jacob Adams,,GK,Wealdstone FC,,,4,2,319,3.5,1,0.28,,,,1,1,0,2,100,0,0,0,0,,Matches
2,Collin Andeng-Ndi,cm CMR,GK,Southend United,20,2003,24,23,"2,060",22.9,25,1.09,,,,8,9,6,11,47.8,4,4,0,0,0,Matches
3,Caleb Ansen,eng ENG,GK,Altrincham,18,2005,12,11,999,11.1,17,1.53,,,,4,3,4,2,18.2,2,2,0,0,0,Matches
4,Steve Arnold,eng ENG,GK,Sutton United,34,1989,14,14,"1,260",14,23,1.64,,,,5,4,5,3,21.4,1,1,0,0,0,Matches
5,Dante Baptiste,eng ENG,GK,Wealdstone FC,22,2002,7,7,630,7,9,1.29,,,,3,2,2,1,14.3,0,0,0,0,,Matches
6,Killian Barrett,ie IRL,GK,Solihull Moors,20,2004,9,9,810,9,8,0.89,,,,4,2,3,2,22.2,0,0,0,0,,Matches
7,Killian Barrett,ie IRL,GK,Rochdale,20,2004,9,9,810,9,6,0.67,,,,5,2,2,4,44.4,1,1,0,0,0,Matches
8,Giosue Bellagambi,ug UGA,GK,Barnet,22,2001,1,1,90,1,0,0,,,,1,0,0,1,100,0,0,0,0,,Matches
9,Dylan Berry,nir NIR,GK,Ebbsfleet United,21,2003,1,1,90,1,2,2,,,,0,0,1,0,0,0,0,0,0,,Matches
10,Harrison Bond,eng ENG,GK,Gateshead,20,2003,2,1,139,1.5,4,2.59,,,,1,0,0,0,0,0,0,0,0,,Matches
11,Tiernan Brooks,ie IRL,GK,Gateshead,22,2002,24,24,"2,160",24,39,1.62,,,,9,5,10,5,20.8,4,3,1,0,25,Matches
12,Ted Cann,eng ENG,GK,Forest Green Rovers,23,2000,6,6,540,6,7,1.17,,,,2,2,2,2,33.3,1,1,0,0,0,Matches
13,Mark Cousins,eng ENG,GK,Ebbsfleet United,37,1987,43,43,"3,870",43,92,2.14,,,,3,13,27,7,16.3,8,8,0,0,0,Matches
14,Ellis Craven,eng ENG,GK,Boston United,19,2004,1,0,35,0.4,2,5.14,,,,0,0,0,0,,0,0,0,0,,Matches
15,Jake Dennis,wls WAL,GK,Oldham Athletic,19,2004,1,1,90,1,2,2,,,,0,1,0,0,0,0,0,0,0,,Matches
16,Marcus Dewhurst,eng ENG,GK,Aldershot Town,23,2001,43,43,"3,870",43,72,1.67,,,,14,15,14,7,16.3,7,5,2,0,28.6,Matches
17,Joel Dixon,eng ENG,GK,Hartlepool United,30,1993,6,6,482,5.4,4,0.75,,,,2,3,1,4,66.7,0,0,0,0,,Matches
18,Tom Donaghy,eng ENG,GK,Oldham Athletic,21,2003,10,10,900,10,9,0.9,,,,2,5,3,4,40,1,1,0,0,0,Matches
19,Tom Donaghy,eng ENG,GK,Boston United,21,2003,2,2,180,2,5,2.5,,,,0,1,1,0,0,0,0,0,0,,Matches
20,George Evans,eng ENG,GK,Sutton United,19,2005,1,1,90,1,2,2,,,,0,1,0,0,0,0,0,0,0,,Matches
21,Owen Evans,wls WAL,GK,Barnet,27,1996,18,18,"1,620",18,7,0.39,,,,13,4,1,12,66.7,2,2,0,0,0,Matches
22,Louie Fallon,eng ENG,GK,Altrincham,17,2006,1,0,21,0.2,1,4.29,,,,0,0,0,0,,0,0,0,0,,Matches
23,Nathaniel Ford,eng ENG,GK,FC Halifax Town,20,2004,1,0,57,0.6,1,1.58,,,,0,0,0,0,,0,0,0,0,,Matches
24,Felix Goddard,eng ENG,GK,Ebbsfleet United,20,2004,1,1,90,1,2,2,,,,0,0,1,0,0,1,1,0,0,0,Matches
25,Henry Gray,nz NZL,GK,Braintree Town,19,2005,20,20,"1,800",20,21,1.05,,,,9,6,5,8,40,2,2,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Cameron Gregory,eng ENG,GK,Boston United,24,2000,31,31,"2,749",30.5,42,1.38,,,,14,6,11,9,29,4,3,1,0,25,Matches
27,Luca Gunter,eng ENG,GK,Wealdstone FC,19,2005,14,14,"1,260",14,29,2.07,,,,5,2,7,2,14.3,4,4,0,0,0,Matches
28,Nathan Harness,eng ENG,GK,Southend United,24,2000,3,2,252,2.8,3,1.07,,,,1,0,1,2,100,0,0,0,0,,Matches
29,Nathan Harvey,eng ENG,GK,Dagenham & Redbridge,22,2002,5,4,366,4.1,8,1.97,,,,0,2,2,0,0,1,0,1,0,100,Matches
30,Nicholas Hayes,eng ENG,GK,Barnet,25,1999,25,25,"2,250",25,30,1.2,,,,15,5,5,8,32,0,0,0,0,,Matches
31,Nicholas Hayes,eng ENG,GK,Southend United,25,1999,18,18,"1,620",18,18,1,,,,7,8,3,5,27.8,0,0,0,0,,Matches
32,Jack Hitchman,eng ENG,GK,Tamworth,20,2004,1,0,62,0.7,3,4.35,,,,0,0,0,0,,0,0,0,0,,Matches
33,Samuel Howes,eng ENG,GK,Wealdstone FC,26,1997,8,8,650,7.2,14,1.94,,,,2,3,3,1,12.5,2,2,0,0,0,Matches
34,Samuel Howes,eng ENG,GK,Maidenhead United,26,1997,6,6,540,6,4,0.67,,,,4,2,0,3,50,1,1,0,0,0,Matches
35,Mathew Hudson,eng ENG,GK,Oldham Athletic,26,1998,35,35,"3,150",35,37,1.06,,,,17,10,8,12,34.3,2,2,0,0,0,Matches
36,William Jääskeläinen,fi FIN,GK,Woking,26,1998,44,44,"3,960",44,56,1.27,,,,13,17,14,10,22.7,5,4,0,1,0,Matches
37,Zach Jeacock,eng ENG,GK,Southend United,23,2001,3,3,206,2.3,3,1.31,,,,1,0,2,1,33.3,0,0,0,0,,Matches
38,Sam Johnson,eng ENG,GK,FC Halifax Town,31,1992,38,38,"3,363",37.4,35,0.94,,,,17,11,10,14,36.8,6,6,0,0,0,Matches
39,Louis Jones,eng ENG,GK,Dagenham & Redbridge,25,1998,7,7,624,6.9,9,1.3,,,,1,3,3,2,28.6,1,1,0,0,0,Matches
40,Elliot Justham,eng ENG,GK,Dagenham & Redbridge,34,1990,28,28,"2,520",28,40,1.43,,,,8,8,12,5,17.9,4,4,0,0,0,Matches
41,Bradley Kelly,eng ENG,GK,Rochdale,24,2000,1,0,19,0.2,1,4.74,,,,0,0,0,0,,0,0,0,0,,Matches
42,Matt Kerbey,eng ENG,GK,Sutton United,22,2002,1,0,5,0.1,1,18,,,,0,0,0,0,,0,0,0,0,,Matches
43,Jacob Knightbridge,eng ENG,GK,Braintree Town,20,2004,2,2,180,2,4,2,,,,0,0,2,0,0,0,0,0,0,,Matches
44,Rob Lainton,eng ENG,GK,Altrincham,34,1989,7,7,576,6.4,10,1.56,,,,1,1,5,0,0,0,0,0,0,,Matches
45,Lucas,br BRA,GK,Braintree Town,33,1991,23,23,"2,070",23,32,1.39,,,,6,5,12,6,26.1,2,2,0,0,0,Matches
46,Lucas,br BRA,GK,Ebbsfleet United,33,1991,1,1,90,1,2,2,,,,0,0,1,0,0,1,1,0,0,0,Matches
47,Lennon MacLorg,eng ENG,GK,Braintree Town,18,2005,1,1,90,1,2,2,,,,0,0,1,0,0,1,1,0,0,0,Matches
48,Harrison Male,eng ENG,GK,York City,23,2000,41,41,"3,620",40.2,34,0.85,,,,27,7,7,19,46.3,3,1,2,0,66.7,Matches
49,Owen Mason,ie IRL,GK,Gateshead,20,2004,11,11,990,11,14,1.27,,,,4,4,3,3,27.3,0,0,0,0,,Matches
50,Archie Matthews,eng ENG,GK,Wealdstone FC,22,2001,9,9,741,8.2,11,1.34,,,,1,3,5,1,11.1,1,1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Joe McDonnell,eng ENG,GK,Eastleigh,30,1994,46,46,"4,140",46,61,1.33,,,,14,17,15,12,26.1,4,4,0,0,0,Matches
52,Luke McNicholas,ie IRL,GK,Rochdale,24,2000,9,9,810,9,3,0.33,,,,6,2,1,6,66.7,0,0,0,0,,Matches
53,Harry Moss,eng ENG,GK,Gateshead,20,2004,3,3,270,3,5,1.67,,,,1,0,2,1,33.3,0,0,0,0,,Matches
54,Fabian Mrozek,pl POL,GK,Forest Green Rovers,20,2003,11,11,990,11,13,1.18,,,,4,4,3,3,27.3,1,1,0,0,0,Matches
55,Leon Phillips,eng ENG,GK,Tamworth,22,2001,1,1,90,1,1,1,,,,0,1,0,0,0,0,0,0,0,,Matches
56,Harvey Randle,,GK,Altrincham,,,2,1,135,1.5,2,1.33,,,,1,0,0,1,100,0,0,0,0,,Matches
57,Theo Richardson,eng ENG,GK,Fylde,25,1998,5,5,450,5,14,2.8,,,,3,0,2,0,0,1,1,0,0,0,Matches
58,David Robson,wls WAL,GK,Rochdale,22,2002,8,8,720,8,13,1.62,,,,3,1,4,1,12.5,2,2,0,0,0,Matches
59,Craig Ross,eng ENG,GK,Maidenhead United,34,1990,40,40,"3,600",40,71,1.77,,,,10,8,22,6,15,3,3,0,0,0,Matches
60,Ethan Ross,eng ENG,GK,Altrincham,27,1997,27,27,"2,409",26.8,32,1.2,,,,11,9,7,9,33.3,4,4,0,0,0,Matches
61,Toby Savin,ga GAB,GK,Barnet,24,2000,2,2,180,2,1,0.5,,,,2,0,0,1,50,0,0,0,0,,Matches
62,Toby Savin,ga GAB,GK,FC Halifax Town,24,2000,8,8,720,8,10,1.25,,,,2,2,4,3,37.5,3,2,1,0,33.3,Matches
63,Jamie Searle,nz NZL,GK,Forest Green Rovers,23,2000,1,1,90,1,0,0,,,,1,0,0,1,100,0,0,0,0,,Matches
64,George Shelvey,eng ENG,GK,Gateshead,23,2001,7,7,581,6.5,6,0.93,,,,4,1,2,2,28.6,0,0,0,0,,Matches
65,Jack Sims,eng ENG,GK,Sutton United,25,1999,31,31,"2,785",30.9,38,1.23,,,,10,10,11,9,29,5,2,3,0,60,Matches
66,Jasbir Singh,eng ENG,GK,Tamworth,34,1990,45,45,"3,987",44.3,71,1.6,,,,17,12,16,6,13.3,7,7,0,0,0,Matches
67,Adam Smith,eng ENG,GK,Hartlepool United,31,1992,31,30,"2,758",30.6,44,1.44,,,,8,11,11,5,16.7,1,1,0,0,0,Matches
68,Jordi van Stappershoef,nl NED,GK,Aldershot Town,28,1996,3,3,270,3,11,3.67,,,,0,0,3,0,0,0,0,0,0,,Matches
69,Toby Steward,eng ENG,GK,Wealdstone FC,19,2005,6,6,540,6,12,2,,,,1,3,2,1,16.7,2,1,1,0,50,Matches
70,Aidan Stone,eng ENG,GK,Boston United,25,1999,13,13,"1,170",13,20,1.54,,,,1,3,9,1,7.7,2,2,0,0,0,Matches
71,Aidan Stone,eng ENG,GK,Yeovil Town,25,1999,17,17,"1,530",17,25,1.47,,,,5,3,9,3,17.6,3,3,0,0,0,Matches
72,Jake Turner,eng ENG,GK,Dagenham & Redbridge,25,1999,7,7,630,7,5,0.71,,,,3,3,1,3,42.9,1,0,1,0,100,Matches
73,Laurie Walker,eng ENG,GK,Solihull Moors,34,1989,27,27,"2,430",27,41,1.52,,,,11,5,11,4,14.8,2,0,2,0,100,Matches
74,Sam Waller,eng ENG,GK,Rochdale,20,2003,20,20,"1,781",19.8,21,1.06,,,,7,6,7,7,35,1,0,1,0,100,Matches
75,Jed Ward,eng ENG,GK,Forest Green Rovers,21,2003,28,28,"2,520",28,22,0.79,,,,15,11,2,10,35.7,1,0,1,0,100,Matches
