,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,Liverpool,31,1992,28,28,"2,508",27.9,29,1.04,106,74,73.6,18,7,3,10,35.7,1,1,0,0,0,Matches
2,Alphonse Areola,fr FRA,GK,West Ham United,31,1993,26,25,"2,260",25.1,41,1.63,121,80,66.1,5,7,13,5,20,0,0,0,0,,Matches
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,"2,790",31,39,1.26,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0,Matches
4,Brandon Austin,eng ENG,GK,Tottenham Hotspur,25,1999,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
5,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,4,360,4,10,2.5,18,8,44.4,1,0,3,1,25,0,0,0,0,,Matches
6,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,2,4,2,12,8,66.7,1,0,1,1,50,0,0,0,0,,Matches
7,Martin Dúbravka,sk SVK,GK,Newcastle United,35,1989,10,10,900,10,12,1.2,41,29,70.7,7,0,3,5,50,0,0,0,0,,Matches
8,Ederson,br BRA,GK,Manchester City,30,1993,26,26,"2,320",25.8,26,1.01,78,54,69.2,16,4,6,10,38.5,2,2,0,0,0,Matches
9,Łukasz Fabiański,pl POL,GK,West Ham United,39,1985,14,13,"1,160",12.9,21,1.63,68,50,73.5,6,3,4,3,23.1,3,3,0,0,0,Matches
10,Mark Flekken,nl NED,GK,Brentford,31,1993,37,37,"3,275",36.4,55,1.51,207,152,73.9,16,8,13,8,21.6,1,1,0,0,0,Matches
11,Fraser Forster,eng ENG,GK,Tottenham Hotspur,36,1988,7,7,630,7,15,2.14,42,28,69,1,2,4,1,14.3,2,2,0,0,0,Matches
12,Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,"3,420",38,51,1.34,152,102,67.1,13,14,11,11,28.9,2,1,1,0,50,Matches
13,Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,27,"2,385",26.5,58,2.19,156,102,64.7,3,6,18,1,3.7,4,3,1,0,25,Matches
14,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,1,0,12,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches
15,Sam Johnstone,eng ENG,GK,Wolves,31,1993,7,7,630,7,17,2.43,38,23,60.5,0,1,6,0,0,2,2,0,0,0,Matches
16,Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,6,6,540,6,9,1.5,28,20,71.4,3,0,3,1,16.7,1,1,0,0,0,Matches
17,Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,10,10,900,10,12,1.2,37,24,67.6,7,2,1,4,40,1,0,1,0,100,Matches
18,Tom King,wls WAL,GK,Wolves,29,1995,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
19,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,21,2003,6,6,540,6,11,1.83,35,24,68.6,1,0,5,1,16.7,0,0,0,0,,Matches
20,Bernd Leno,de GER,GK,Fulham,32,1992,38,38,"3,420",38,54,1.42,158,107,67.7,15,9,14,5,13.2,4,3,1,0,25,Matches
21,Joe Lumley,eng ENG,GK,Southampton,29,1995,3,3,270,3,7,2.33,20,13,65,0,1,2,0,0,0,0,0,0,,Matches
22,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,37,37,"3,194",35.5,47,1.32,144,99,68.1,18,9,10,8,21.6,2,1,1,0,50,Matches
23,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,5,13,2.6,35,24,68.6,0,0,5,0,0,2,2,0,0,0,Matches
24,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,"1,620",18,33,1.83,100,70,70,2,6,10,1,5.6,3,3,0,0,0,Matches
25,Neto,br BRA,GK,Bournemouth,35,1989,2,2,180,2,2,1,13,11,84.6,0,2,0,0,0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,1,226,2.5,6,2.39,13,8,61.5,1,0,0,1,100,1,1,0,0,0,Matches
27,André Onana,cm CMR,GK,Manchester Utd,28,1996,34,34,"3,060",34,44,1.29,129,88,68.2,10,9,15,9,26.5,4,3,1,0,25,Matches
28,Stefan Ortega,de GER,GK,Manchester City,31,1992,13,12,"1,100",12.2,18,1.47,49,33,67.3,5,4,3,3,25,2,2,0,0,0,Matches
29,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,"1,170",13,30,2.31,74,45,60.8,1,3,9,0,0,1,1,0,0,0,Matches
30,Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,"3,420",38,44,1.16,161,119,72.7,11,15,12,12,31.6,2,0,2,0,100,Matches
31,Nick Pope,eng ENG,GK,Newcastle United,32,1992,28,28,"2,520",28,35,1.25,120,87,71.7,13,6,9,8,28.6,2,1,1,0,50,Matches
32,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,"2,700",30,66,2.2,182,123,66.5,2,5,23,3,10,7,5,2,0,28.6,Matches
33,David Raya,es ESP,GK,Arsenal,28,1995,38,38,"3,420",38,34,0.89,117,86,73.5,20,14,4,13,34.2,3,3,0,0,0,Matches
34,José Sá,pt POR,GK,Wolves,31,1993,29,29,"2,609",29,48,1.66,110,69,60.9,11,5,13,7,24.1,7,5,2,0,28.6,Matches
